"Species"	"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"mean_coNested"	"mean_coNesters"
"dominula"	50	1	46	1	17.8	0.2	0.2	0	0	-0.6
"dominula"	50	2	162	1	42.4	0.2	0.2	0	0	-0.6
"dominula"	50	3	139	1	34.6	0.3	0.3	0	0	-0.4
"dominula"	50	4	132	2	39.7	0.3	0.3	0	0	-0.4
"dominula"	50	5	111	2	34.9	0.3	0.3	0	0.1	-0.3
"dominula"	50	6	138	1	52.3	0.1	0.1	0	0	-0.7
"dominula"	50	7	111	1	38.8	0.4	0.4	0.1	0.1	-0.1
"dominula"	50	8	191	1	43.7	0.2	0.2	0	0.2	-0.4
"dominula"	50	9	95	2	45	0.1	0.1	0	0	-0.8
"dominula"	50	10	87	1	28.3	0.2	0.2	0	0	-0.6
"dominula"	50	11	101	1	48.4	0.3	0.3	0	0.1	-0.3
"dominula"	50	12	124	1	41.1	0.2	0.2	0	0	-0.6
"dominula"	50	13	126	1	40	0.2	0.2	0.1	0	-0.6
"dominula"	50	14	201	1	64.7	0.3	0.3	0	0.1	-0.3
"dominula"	50	15	142	2	31.5	0.3	0.3	0	0.2	0
"dominula"	50	16	161	1	43.2	0.2	0.2	0	0.1	-0.3
"dominula"	50	17	55	1	26.8	0.2	0.2	0	0.2	-0.4
"dominula"	50	18	114	1	41.1	0.2	0.2	0	0.1	-0.2
"dominula"	50	19	164	1	38.6	0.2	0.2	0	0.1	-0.4
"dominula"	50	20	159	1	49.7	0.1	0.1	0	0.1	-0.6
"dominula"	50	21	176	1	55.9	0.2	0.2	0	0.1	-0.3
"dominula"	50	22	132	1	36.2	0.2	0.2	0	0.2	-0.3
"dominula"	50	23	173	1	43.2	0.1	0.1	0	0.1	-0.7
"dominula"	50	24	129	1	37.9	0.2	0.2	0	0.1	-0.3
"dominula"	50	25	116	3	38.6	0.2	0.2	0	0.2	-0.4
"dominula"	50	26	72	1	29.2	0.3	0.3	0	0.1	-0.2
"dominula"	50	27	61	1	31.5	0.2	0.2	0	0.1	-0.2
"dominula"	50	28	114	1	34.9	0.1	0.1	0	0.1	-0.3
"dominula"	50	29	133	2	25.3	0.3	0.3	0	0.3	0.6
"dominula"	50	30	71	1	29.3	0.3	0.3	0	0.1	0.1
"dominula"	50	31	110	2	40.8	0.3	0.3	0	0.1	-0.3
"dominula"	50	32	91	1	27.5	0.2	0.2	0	0.1	-0.5
"dominula"	50	33	90	1	25	0.2	0.2	0	0.2	-0.3
"dominula"	50	34	110	2	26.9	0.2	0.2	0	0.1	-0.2
"dominula"	50	35	103	1	37	0.1	0.1	0	0.1	-0.3
"dominula"	50	36	170	1	40	0.2	0.2	0	0.2	0.2
"dominula"	50	37	67	1	22	0.3	0.3	0	0.3	0.4
"dominula"	50	38	95	1	20.6	0.1	0.1	0	0.1	-0.2
"dominula"	50	39	81	1	18.9	0.1	0.1	0	0.1	-0.1
"dominula"	50	40	70	1	23.5	0.1	0.1	0	0.1	-0.5
"dominula"	50	41	102	1	38	0.2	0.2	0	0.2	0.2
"dominula"	50	42	94	2	40.7	0.2	0.2	0	0	-0.6
"dominula"	50	43	85	3	21.9	0.3	0.3	0	0.2	0
"dominula"	50	44	221	1	50.2	0.3	0.3	0	0.2	0.2
"dominula"	50	45	95	2	38	0.3	0.3	0	0.2	0
"dominula"	50	46	46	2	21.4	0.2	0.2	0	0.1	-0.5
"dominula"	50	47	125	2	43.1	0.2	0.2	0	0.1	-0.4
"dominula"	50	48	116	1	28.4	0.2	0.2	0	0.1	-0.2
"dominula"	50	49	142	4	43	0.2	0.2	0	0.1	-0.4
"dominula"	50	50	125	3	57.1	0.3	0.3	0	0.2	0.2
"dominula"	60	1	97	1	32.1	0.3	0.3	0	0	-0.4
"dominula"	60	2	126	1	53.9	0.3	0.3	0	0	-0.4
"dominula"	60	3	244	1	49.4	0.4	0.4	0	0	-0.2
"dominula"	60	4	94	2	37.6	0.3	0.3	0	0.1	-0.3
"dominula"	60	5	86	2	36.9	0.3	0.3	0	0.1	-0.3
"dominula"	60	6	81	1	24.6	0.3	0.3	0	0	-0.4
"dominula"	60	7	183	1	57.3	0.2	0.2	0	0	-0.6
"dominula"	60	8	137	2	55.8	0.1	0.1	0	0.1	-0.7
"dominula"	60	9	79	1	29	0.1	0.1	0	0.1	-0.6
"dominula"	60	10	141	1	50.7	0.3	0.3	0	0	-0.4
"dominula"	60	11	188	2	43.2	0.1	0.1	0	0.1	-0.5
"dominula"	60	12	133	2	40.3	0.4	0.4	0	0.1	-0.1
"dominula"	60	13	69	1	28.8	0.3	0.3	0	0.1	-0.3
"dominula"	60	14	173	1	51.6	0.2	0.2	0	0.2	-0.3
"dominula"	60	15	86	3	31.8	0.2	0.2	0	0	-0.6
"dominula"	60	16	63	1	16.2	0.1	0.1	0	0	-0.8
"dominula"	60	17	78	2	27.7	0.3	0.3	0.1	0.1	-0.2
"dominula"	60	18	115	2	31.2	0.2	0.2	0	0.2	0
"dominula"	60	19	122	1	43.3	0.3	0.3	0	0.2	-0.2
"dominula"	60	20	118	2	28.4	0.1	0.1	0	0	-0.8
"dominula"	60	21	178	2	50	0.3	0.3	0.1	0.2	-0.1
"dominula"	60	22	104	2	42.2	0.2	0.2	0	0.1	-0.4
"dominula"	60	23	159	3	58.5	0	0	0	0	-0.8
"dominula"	60	24	128	1	28.5	0.3	0.3	0	0.2	-0.2
"dominula"	60	25	167	1	48.6	0.4	0.4	0.1	0.2	0.3
"dominula"	60	26	79	2	21.2	0.2	0.2	0	0.2	-0.4
"dominula"	60	27	206	1	60.5	0.1	0.1	0	0.1	-0.5
"dominula"	60	28	120	1	36.4	0.2	0.2	0	0.1	-0.4
"dominula"	60	29	83	3	36	0.3	0.3	0	0.1	-0.3
"dominula"	60	30	148	1	53.5	0.2	0.2	0	0.1	-0.2
"dominula"	60	31	84	1	37	0.2	0.2	0	0.2	-0.3
"dominula"	60	32	131	1	43.3	0.4	0.4	0	0.2	0.4
"dominula"	60	33	238	1	75.7	0.2	0.2	0	0.2	0.3
"dominula"	60	34	100	1	35.6	0.2	0.2	0	0.1	-0.3
