"Species"	"number_wasps"	"w"	"total_alive"	"total_nested"	"total_usurp"	"total_coNested"
"dominula"	50	1	2	2	0	0
"dominula"	50	2	2	2	0	0
"dominula"	50	3	3	3	0	0
"dominula"	50	4	3	3	0	0
"dominula"	50	5	3	3	0	1
"dominula"	50	6	1	1	0	0
"dominula"	50	7	4	4	1	1
"dominula"	50	8	2	2	0	2
"dominula"	50	9	1	1	0	0
"dominula"	50	10	2	2	0	0
"dominula"	50	11	3	3	0	1
"dominula"	50	12	2	2	0	0
"dominula"	50	13	2	2	1	0
"dominula"	50	14	3	3	0	1
"dominula"	50	15	3	3	0	2
"dominula"	50	16	2	2	0	1
"dominula"	50	17	2	2	0	2
"dominula"	50	18	2	2	0	1
"dominula"	50	19	2	2	0	1
"dominula"	50	20	1	1	0	1
"dominula"	50	21	2	2	0	1
"dominula"	50	22	2	2	0	2
"dominula"	50	23	1	1	0	1
"dominula"	50	24	2	2	0	1
"dominula"	50	25	2	2	0	2
"dominula"	50	26	3	3	0	1
"dominula"	50	27	2	2	0	1
"dominula"	50	28	1	1	0	1
"dominula"	50	29	3	3	0	3
"dominula"	50	30	3	3	0	1
"dominula"	50	31	3	3	0	1
"dominula"	50	32	2	2	0	1
"dominula"	50	33	2	2	0	2
"dominula"	50	34	2	2	0	1
"dominula"	50	35	1	1	0	1
"dominula"	50	36	2	2	0	2
"dominula"	50	37	3	3	0	3
"dominula"	50	38	1	1	0	1
"dominula"	50	39	1	1	0	1
"dominula"	50	40	1	1	0	1
"dominula"	50	41	2	2	0	2
"dominula"	50	42	2	2	0	0
"dominula"	50	43	3	3	0	2
"dominula"	50	44	3	3	0	2
"dominula"	50	45	3	3	0	2
"dominula"	50	46	2	2	0	1
"dominula"	50	47	2	2	0	1
"dominula"	50	48	2	2	0	1
"dominula"	50	49	2	2	0	1
"dominula"	50	50	3	3	0	2
"dominula"	60	1	3	3	0	0
"dominula"	60	2	3	3	0	0
"dominula"	60	3	4	4	0	0
"dominula"	60	4	3	3	0	1
"dominula"	60	5	3	3	0	1
"dominula"	60	6	3	3	0	0
"dominula"	60	7	2	2	0	0
"dominula"	60	8	1	1	0	1
"dominula"	60	9	1	1	0	1
"dominula"	60	10	3	3	0	0
"dominula"	60	11	1	1	0	1
"dominula"	60	12	4	4	0	1
"dominula"	60	13	3	3	0	1
"dominula"	60	14	2	2	0	2
"dominula"	60	15	2	2	0	0
"dominula"	60	16	1	1	0	0
"dominula"	60	17	3	3	1	1
"dominula"	60	18	2	2	0	2
"dominula"	60	19	3	3	0	2
"dominula"	60	20	1	1	0	0
"dominula"	60	21	3	3	1	2
"dominula"	60	22	2	2	0	1
"dominula"	60	23	0	0	0	0
"dominula"	60	24	3	3	0	2
"dominula"	60	25	4	4	1	2
"dominula"	60	26	2	2	0	2
"dominula"	60	27	1	1	0	1
"dominula"	60	28	2	2	0	1
"dominula"	60	29	3	3	0	1
"dominula"	60	30	2	2	0	1
"dominula"	60	31	2	2	0	2
"dominula"	60	32	4	4	0	2
"dominula"	60	33	2	2	0	2
"dominula"	60	34	2	2	0	1
"dominula"	60	35	1	1	0	1
"dominula"	60	36	2	2	0	1
"dominula"	60	37	3	3	0	2
"dominula"	60	38	2	2	0	2
"dominula"	60	39	3	3	1	2
"dominula"	60	40	3	3	0	2
"dominula"	60	41	1	1	0	1
"dominula"	60	42	1	1	0	1
"dominula"	60	43	2	2	0	0
"dominula"	60	44	3	3	0	1
"dominula"	60	45	3	3	0	2
"dominula"	60	46	2	2	0	1
"dominula"	60	47	3	3	0	1
"dominula"	60	48	3	3	0	2
"dominula"	60	49	1	1	0	1
"dominula"	60	50	2	2	0	1
"dominula"	60	51	1	1	0	1
"dominula"	60	52	2	2	0	2
"dominula"	60	53	2	2	0	1
"dominula"	60	54	2	2	0	1
"dominula"	60	55	3	3	0	0
"dominula"	60	56	3	3	0	2
"dominula"	60	57	3	3	0	2
"dominula"	60	58	1	1	0	1
"dominula"	60	59	3	3	0	2
"dominula"	60	60	2	2	0	1
"dominula"	70	1	2	2	0	0
"dominula"	70	2	3	3	0	0
"dominula"	70	3	1	1	0	0
"dominula"	70	4	2	2	0	0
"dominula"	70	5	2	2	0	1
