"Species"	"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"mean_coNested"	"mean_coNesters"
"dominula"	50	1	111	1	19.9	0.5	0.5	0	0	0
"dominula"	50	2	301	1	34.5	0.6	0.6	0	0.1	0.3
"dominula"	50	3	44	1	13.1	0.7	0.7	0	0.1	0.5
"dominula"	50	4	148	1	24.4	0.7	0.7	0	0.3	0.7
"dominula"	50	5	139	1	21.7	0.6	0.6	0	0.1	0.4
"dominula"	50	6	73	1	20.7	0.5	0.5	0	0.1	0.1
"dominula"	50	7	81	1	16.7	0.7	0.7	0.1	0.2	0.7
"dominula"	50	8	104	1	23.9	0.5	0.5	0	0.2	0.4
"dominula"	50	9	99	1	17.5	0.6	0.6	0	0.2	0.4
"dominula"	50	10	31	1	10.4	0.6	0.6	0	0.4	1.1
"dominula"	50	11	43	1	14.4	0.6	0.6	0.1	0.2	0.6
"dominula"	50	12	62	1	14.9	0.7	0.7	0	0.3	1.2
"dominula"	50	13	56	1	14.8	0.7	0.7	0	0.3	0.8
"dominula"	50	14	130	1	17.3	0.5	0.5	0	0.5	1
"dominula"	50	15	58	1	12.6	0.6	0.6	0	0.5	1.4
"dominula"	50	16	88	1	19.9	0.8	0.8	0	0.5	1.8
"dominula"	50	17	36	1	10.2	0.6	0.6	0.1	0.2	0.4
"dominula"	50	18	44	1	12.9	0.7	0.7	0	0.6	1.5
"dominula"	50	19	62	1	19	0.7	0.7	0	0.4	1.3
"dominula"	50	20	54	1	17.4	0.6	0.6	0	0.4	1.1
"dominula"	50	21	48	1	14.2	0.6	0.6	0.1	0.3	1.1
"dominula"	50	22	47	1	13.6	0.6	0.6	0	0.4	1.2
"dominula"	50	23	67	1	12.4	0.7	0.7	0	0.4	1.2
"dominula"	50	24	58	1	13.6	0.6	0.6	0	0.5	1.6
"dominula"	50	25	64	1	19.5	0.8	0.8	0	0.3	1.3
"dominula"	50	26	62	1	16.8	0.5	0.5	0	0.5	1.1
"dominula"	50	27	119	1	22.4	0.7	0.7	0	0.7	1.9
"dominula"	50	28	42	1	12.8	0.6	0.6	0.1	0.3	1.2
"dominula"	50	29	48	1	15.6	0.7	0.7	0	0.5	2.1
"dominula"	50	30	39	1	12.4	0.5	0.5	0	0.3	0.8
"dominula"	50	31	48	1	10.2	0.7	0.7	0	0.7	3.4
"dominula"	50	32	55	1	18.3	0.6	0.6	0	0.5	1.7
"dominula"	50	33	39	1	9.6	0.7	0.7	0	0.5	1.8
"dominula"	50	34	21	1	9.2	0.6	0.6	0	0.6	2.3
"dominula"	50	35	28	1	5.5	0.6	0.6	0	0.6	3.3
"dominula"	50	36	66	1	19.3	0.7	0.7	0	0.6	2.8
"dominula"	50	37	85	1	19.8	0.6	0.6	0	0.5	2.3
"dominula"	50	38	216	1	41.7	0.5	0.5	0	0.4	1.9
"dominula"	50	39	79	1	22.9	0.5	0.5	0.1	0.4	1.9
"dominula"	50	40	75	1	19.8	0.5	0.5	0	0.2	0.8
"dominula"	50	41	99	1	23.4	0.7	0.7	0	0.5	1.8
"dominula"	50	42	46	1	10.2	0.7	0.7	0	0.6	2.6
"dominula"	50	43	131	1	21.6	0.5	0.5	0	0.3	1.6
"dominula"	50	44	183	1	26.9	0.5	0.5	0	0.4	1.6
"dominula"	50	45	64	1	21.8	0.4	0.4	0	0.3	1.5
"dominula"	50	46	214	1	38.1	0.6	0.6	0	0.4	2.7
"dominula"	50	47	120	1	24.4	0.6	0.6	0	0.5	2.3
"dominula"	50	48	44	1	12.2	0.6	0.6	0	0.5	3.3
"dominula"	50	49	165	1	31.5	0.8	0.8	0	0.6	3.4
"dominula"	50	50	124	1	27.1	0.6	0.6	0	0.4	2.3
"dominula"	60	1	157	1	39.6	0.3	0.3	0	0	-0.4
"dominula"	60	2	91	1	27.4	0.4	0.4	0	0	-0.2
"dominula"	60	3	93	1	32.2	0.3	0.3	0	0	-0.4
"dominula"	60	4	87	1	23.9	0.3	0.3	0	0	-0.4
"dominula"	60	5	86	1	31.8	0.3	0.3	0	0.1	-0.3
"dominula"	60	6	304	1	56.6	0.2	0.2	0	0.1	-0.5
"dominula"	60	7	101	1	33.3	0.1	0.1	0	0	-0.6
"dominula"	60	8	122	1	42	0.4	0.4	0	0.2	0.1
"dominula"	60	9	105	1	35.7	0.3	0.3	0	0.1	-0.3
