"Species"	"number_wasps"	"w"	"total_alive"	"total_nested"	"total_usurp"	"total_coNested"
"dominula"	50	1	5	5	0	0
"dominula"	50	2	6	6	0	1
"dominula"	50	3	7	7	0	1
"dominula"	50	4	7	7	0	3
"dominula"	50	5	6	6	0	1
"dominula"	50	6	5	5	0	1
"dominula"	50	7	7	7	1	2
"dominula"	50	8	5	5	0	2
"dominula"	50	9	6	6	0	2
"dominula"	50	10	6	6	0	4
"dominula"	50	11	6	6	1	2
"dominula"	50	12	7	7	0	3
"dominula"	50	13	7	7	0	3
"dominula"	50	14	5	5	0	5
"dominula"	50	15	6	6	0	5
"dominula"	50	16	8	8	0	5
"dominula"	50	17	6	6	1	2
"dominula"	50	18	7	7	0	6
"dominula"	50	19	7	7	0	4
"dominula"	50	20	6	6	0	4
"dominula"	50	21	6	6	1	3
"dominula"	50	22	6	6	0	4
"dominula"	50	23	7	7	0	4
"dominula"	50	24	6	6	0	5
"dominula"	50	25	8	8	0	3
"dominula"	50	26	5	5	0	5
"dominula"	50	27	7	7	0	7
"dominula"	50	28	6	6	1	3
"dominula"	50	29	7	7	0	5
"dominula"	50	30	5	5	0	3
"dominula"	50	31	7	7	0	7
"dominula"	50	32	6	6	0	5
"dominula"	50	33	7	7	0	5
"dominula"	50	34	6	6	0	6
"dominula"	50	35	6	6	0	6
"dominula"	50	36	7	7	0	6
"dominula"	50	37	6	6	0	5
"dominula"	50	38	5	5	0	4
"dominula"	50	39	5	5	1	4
"dominula"	50	40	5	5	0	2
"dominula"	50	41	7	7	0	5
"dominula"	50	42	7	7	0	6
"dominula"	50	43	5	5	0	3
"dominula"	50	44	5	5	0	4
"dominula"	50	45	4	4	0	3
"dominula"	50	46	6	6	0	4
"dominula"	50	47	6	6	0	5
"dominula"	50	48	6	6	0	5
"dominula"	50	49	8	8	0	6
"dominula"	50	50	6	6	0	4
"dominula"	60	1	3	3	0	0
"dominula"	60	2	4	4	0	0
"dominula"	60	3	3	3	0	0
"dominula"	60	4	3	3	0	0
"dominula"	60	5	3	3	0	1
"dominula"	60	6	2	2	0	1
"dominula"	60	7	1	1	0	0
"dominula"	60	8	4	4	0	2
"dominula"	60	9	3	3	0	1
"dominula"	60	10	3	3	0	1
"dominula"	60	11	3	3	0	1
"dominula"	60	12	3	3	0	2
"dominula"	60	13	2	2	1	0
"dominula"	60	14	3	3	0	1
"dominula"	60	15	3	3	0	2
"dominula"	60	16	2	2	0	2
"dominula"	60	17	2	2	0	1
"dominula"	60	18	1	1	0	1
"dominula"	60	19	2	2	0	2
"dominula"	60	20	2	2	0	2
"dominula"	60	21	2	2	0	2
"dominula"	60	22	4	4	0	4
"dominula"	60	23	1	1	0	0
"dominula"	60	24	3	3	0	3
"dominula"	60	25	3	3	0	1
"dominula"	60	26	1	1	0	1
"dominula"	60	27	2	2	0	1
"dominula"	60	28	1	1	0	1
"dominula"	60	29	1	1	0	1
"dominula"	60	30	5	5	0	2
"dominula"	60	31	4	4	0	0
"dominula"	60	32	4	4	0	2
"dominula"	60	33	3	3	0	3
"dominula"	60	34	2	2	0	1
"dominula"	60	35	2	2	0	1
"dominula"	60	36	2	2	0	1
"dominula"	60	37	2	2	0	2
"dominula"	60	38	3	3	0	3
"dominula"	60	39	3	3	0	1
"dominula"	60	40	4	4	0	3
"dominula"	60	41	3	3	1	1
"dominula"	60	42	4	4	0	2
"dominula"	60	43	2	2	0	2
"dominula"	60	44	2	2	0	1
"dominula"	60	45	2	2	0	1
"dominula"	60	46	2	2	0	2
"dominula"	60	47	3	3	0	3
"dominula"	60	48	2	2	0	1
"dominula"	60	49	2	2	0	2
"dominula"	60	50	3	3	0	1
"dominula"	60	51	3	3	0	1
"dominula"	60	52	3	3	0	3
"dominula"	60	53	3	3	0	3
"dominula"	60	54	4	4	0	4
"dominula"	60	55	3	3	0	2
"dominula"	60	56	2	2	0	2
