"Species"	"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"mean_coNested"	"mean_coNesters"
"dominula"	50	1	63	1	23.4	0.5	0.5	0	0	0
"dominula"	50	2	71	1	15.3	0.5	0.5	0	0	0
"dominula"	50	3	53	1	15.6	0.5	0.5	0	0	0
"dominula"	50	4	59	1	20.9	0.4	0.4	0.1	0	-0.2
"dominula"	50	5	60	1	15.4	0.5	0.5	0.1	0.1	0.1
"dominula"	50	6	32	1	11.6	0.5	0.5	0	0.2	0.2
"dominula"	50	7	73	1	23.8	0.4	0.4	0	0.2	0.1
"dominula"	50	8	158	1	24.3	0.5	0.5	0	0.2	0.4
"dominula"	50	9	92	1	24.6	0.6	0.6	0	0.2	0.5
"dominula"	50	10	114	1	25.1	0.8	0.8	0	0.2	0.9
"dominula"	50	11	60	1	14.9	0.6	0.6	0	0.4	1
"dominula"	50	12	73	1	20.9	0.7	0.7	0	0.4	1.5
"dominula"	50	13	79	1	18.6	0.5	0.5	0	0.2	0.4
"dominula"	50	14	50	1	15.3	0.7	0.7	0	0.2	1.2
"dominula"	50	15	114	1	36.2	0.6	0.6	0	0.3	0.8
"dominula"	50	16	71	1	21.5	0.6	0.6	0	0.2	0.5
"dominula"	50	17	54	1	15.9	0.5	0.5	0	0.2	0.2
"dominula"	50	18	46	1	14	0.4	0.4	0.1	0.2	0.3
"dominula"	50	19	59	1	15.4	0.5	0.5	0	0.4	1.4
"dominula"	50	20	34	1	10.2	0.4	0.4	0	0.2	0.6
"dominula"	50	21	76	1	18.1	0.5	0.5	0	0.2	0.4
"dominula"	50	22	123	1	28.6	0.6	0.6	0	0.5	1.4
"dominula"	50	23	55	1	18	0.6	0.6	0.1	0.2	0.5
"dominula"	50	24	30	1	11.5	0.7	0.7	0.1	0.4	2
"dominula"	50	25	33	1	9.7	0.4	0.4	0	0.1	0
"dominula"	50	26	126	1	21.1	0.6	0.6	0.1	0.3	1.2
"dominula"	50	27	79	1	26.9	0.6	0.6	0	0.2	0.5
"dominula"	50	28	43	1	15.5	0.8	0.8	0	0.4	1.5
"dominula"	50	29	134	1	33	0.5	0.5	0	0.2	0.7
"dominula"	50	30	108	2	25	0.5	0.5	0	0.3	0.3
"dominula"	50	31	82	1	20.2	0.6	0.6	0	0.3	0.9
"dominula"	50	32	74	1	24.9	0.5	0.5	0	0.3	0.7
"dominula"	50	33	44	1	14	0.5	0.5	0	0.5	1.6
"dominula"	50	34	58	1	17.3	0.6	0.6	0	0.3	1.5
"dominula"	50	35	67	1	19.8	0.6	0.6	0	0.4	2.2
"dominula"	50	36	52	1	18.4	0.7	0.7	0	0.4	1.7
"dominula"	50	37	169	1	41.2	0.6	0.6	0	0.4	1.2
"dominula"	50	38	49	1	24.2	0.7	0.7	0	0.4	2.3
"dominula"	50	39	93	1	19.5	0.7	0.7	0	0.6	2.8
"dominula"	50	40	41	1	14.3	0.7	0.7	0.1	0.5	2
"dominula"	50	41	32	1	12.3	0.4	0.4	0	0.3	2.2
"dominula"	50	42	133	1	28	0.4	0.4	0	0.2	0.6
"dominula"	50	43	98	1	28.2	0.5	0.5	0	0.3	1.4
"dominula"	50	44	53	1	12.6	0.6	0.6	0	0.4	1.1
"dominula"	50	45	102	1	27.4	0.6	0.6	0	0.4	2.1
"dominula"	50	46	111	1	29.5	0.7	0.7	0	0.5	2.2
"dominula"	50	47	309	1	48.2	0.7	0.7	0.1	0.4	1.8
"dominula"	50	48	71	1	21.6	0.6	0.6	0	0.5	2.6
"dominula"	50	49	53	1	15.6	0.6	0.6	0	0.4	1.9
"dominula"	50	50	111	1	27.1	0.5	0.5	0	0.3	1.9
"dominula"	60	1	98	1	22	0.6	0.6	0	0	0.2
"dominula"	60	2	100	1	32.1	0.7	0.7	0	0.1	0.5
"dominula"	60	3	34	1	9	0.6	0.6	0	0.1	0.3
"dominula"	60	4	42	1	15.6	0.7	0.7	0	0.1	0.5
"dominula"	60	5	55	1	12.5	0.7	0.7	0	0.3	0.7
"dominula"	60	6	37	1	7.9	0.4	0.4	0	0.3	0.3
"dominula"	60	7	116	1	32.8	0.6	0.6	0	0	0.2
"dominula"	60	8	127	1	22.9	0.6	0.6	0	0.2	0.6
"dominula"	60	9	47	1	11.7	0.6	0.6	0	0.3	0.7
"dominula"	60	10	80	1	18.9	0.7	0.7	0	0.4	0.8
"dominula"	60	11	35	1	15.5	0.5	0.5	0	0.2	0.5
"dominula"	60	12	254	1	42.2	0.6	0.6	0	0.2	0.5
"dominula"	60	13	118	1	33.2	0.7	0.7	0	0.2	1
"dominula"	60	14	105	1	31.1	0.5	0.5	0	0.2	0.6
"dominula"	60	15	77	1	21.1	0.4	0.4	0	0.3	0.4
"dominula"	60	16	95	1	26.4	0.5	0.5	0	0.3	0.6
"dominula"	60	17	65	1	20.3	0.6	0.6	0	0.5	1.3
"dominula"	60	18	200	1	33.9	0.4	0.4	0	0.4	0.7
"dominula"	60	19	108	1	24.1	0.4	0.4	0	0.4	0.7
