"Species"	"number_wasps"	"w"	"total_alive"	"total_nested"	"total_usurp"	"total_coNested"
"dominula"	50	1	5	5	0	0
"dominula"	50	2	5	5	0	0
"dominula"	50	3	5	5	0	0
"dominula"	50	4	4	4	1	0
"dominula"	50	5	5	5	1	1
"dominula"	50	6	5	5	0	2
"dominula"	50	7	4	4	0	2
"dominula"	50	8	5	5	0	2
"dominula"	50	9	6	6	0	2
"dominula"	50	10	8	8	0	2
"dominula"	50	11	6	6	0	4
"dominula"	50	12	7	7	0	4
"dominula"	50	13	5	5	0	2
"dominula"	50	14	7	7	0	2
"dominula"	50	15	6	6	0	3
"dominula"	50	16	6	6	0	2
"dominula"	50	17	5	5	0	2
"dominula"	50	18	4	4	1	2
"dominula"	50	19	5	5	0	4
"dominula"	50	20	4	4	0	2
"dominula"	50	21	5	5	0	2
"dominula"	50	22	6	6	0	5
"dominula"	50	23	6	6	1	2
"dominula"	50	24	7	7	1	4
"dominula"	50	25	4	4	0	1
"dominula"	50	26	6	6	1	3
"dominula"	50	27	6	6	0	2
"dominula"	50	28	8	8	0	4
"dominula"	50	29	5	5	0	2
"dominula"	50	30	5	5	0	3
"dominula"	50	31	6	6	0	3
"dominula"	50	32	5	5	0	3
"dominula"	50	33	5	5	0	5
"dominula"	50	34	6	6	0	3
"dominula"	50	35	6	6	0	4
"dominula"	50	36	7	7	0	4
"dominula"	50	37	6	6	0	4
"dominula"	50	38	7	7	0	4
"dominula"	50	39	7	7	0	6
"dominula"	50	40	7	7	1	5
"dominula"	50	41	4	4	0	3
"dominula"	50	42	4	4	0	2
"dominula"	50	43	5	5	0	3
"dominula"	50	44	6	6	0	4
"dominula"	50	45	6	6	0	4
"dominula"	50	46	7	7	0	5
"dominula"	50	47	7	7	1	4
"dominula"	50	48	6	6	0	5
"dominula"	50	49	6	6	0	4
"dominula"	50	50	5	5	0	3
"dominula"	60	1	6	6	0	0
"dominula"	60	2	7	7	0	1
"dominula"	60	3	6	6	0	1
"dominula"	60	4	7	7	0	1
"dominula"	60	5	7	7	0	3
"dominula"	60	6	4	4	0	3
"dominula"	60	7	6	6	0	0
"dominula"	60	8	6	6	0	2
"dominula"	60	9	6	6	0	3
"dominula"	60	10	7	7	0	4
"dominula"	60	11	5	5	0	2
"dominula"	60	12	6	6	0	2
"dominula"	60	13	7	7	0	2
"dominula"	60	14	5	5	0	2
"dominula"	60	15	4	4	0	3
"dominula"	60	16	5	5	0	3
"dominula"	60	17	6	6	0	5
"dominula"	60	18	4	4	0	4
"dominula"	60	19	4	4	0	4
"dominula"	60	20	6	6	0	3
"dominula"	60	21	5	5	0	3
"dominula"	60	22	5	5	0	2
"dominula"	60	23	6	6	0	2
"dominula"	60	24	7	7	0	4
"dominula"	60	25	6	6	1	4
"dominula"	60	26	4	4	1	3
"dominula"	60	27	6	6	0	6
"dominula"	60	28	5	5	0	4
"dominula"	60	29	7	7	0	3
"dominula"	60	30	5	5	0	4
"dominula"	60	31	5	5	0	5
"dominula"	60	32	7	7	0	5
"dominula"	60	33	4	4	0	3
"dominula"	60	34	7	7	0	4
"dominula"	60	35	6	6	0	6
"dominula"	60	36	5	5	0	4
"dominula"	60	37	5	5	0	3
"dominula"	60	38	6	6	0	1
"dominula"	60	39	7	7	0	4
"dominula"	60	40	5	5	0	3
"dominula"	60	41	7	7	0	3
"dominula"	60	42	8	8	0	6
"dominula"	60	43	6	6	0	5
"dominula"	60	44	6	6	0	5
"dominula"	60	45	5	5	0	4
"dominula"	60	46	5	5	0	4
"dominula"	60	47	6	6	0	2
"dominula"	60	48	8	8	0	6
"dominula"	60	49	5	5	0	3
"dominula"	60	50	5	5	0	4
"dominula"	60	51	4	4	0	4
"dominula"	60	52	5	5	0	2
"dominula"	60	53	5	5	0	4
"dominula"	60	54	4	4	0	4
"dominula"	60	55	4	4	0	3
"dominula"	60	56	6	6	0	3
"dominula"	60	57	4	4	0	4
"dominula"	60	58	7	7	0	2
"dominula"	60	59	3	3	0	2
"dominula"	60	60	6	6	1	2
"dominula"	70	1	5	5	0	0
"dominula"	70	2	6	6	0	0
"dominula"	70	3	7	7	0	0
"dominula"	70	4	6	6	1	1
"dominula"	70	5	7	7	0	2
"dominula"	70	6	7	7	0	3
"dominula"	70	7	5	5	1	2
"dominula"	70	8	6	6	0	2
"dominula"	70	9	7	7	0	4
"dominula"	70	10	5	5	0	1
"dominula"	70	11	5	5	0	2
"dominula"	70	12	6	6	0	4
"dominula"	70	13	4	4	0	3
"dominula"	70	14	6	6	0	2
"dominula"	70	15	6	6	0	4
"dominula"	70	16	4	4	1	3
"dominula"	70	17	7	7	0	2
"dominula"	70	18	4	4	0	2
"dominula"	70	19	7	7	0	2
"dominula"	70	20	7	7	0	5
"dominula"	70	21	6	6	0	2
"dominula"	70	22	6	6	0	4
"dominula"	70	23	6	6	0	5
"dominula"	70	24	7	7	1	4
"dominula"	70	25	7	7	0	4
"dominula"	70	26	6	6	0	2
"dominula"	70	27	5	5	0	3
"dominula"	70	28	7	7	0	5
"dominula"	70	29	4	4	0	2
"dominula"	70	30	6	6	1	3
"dominula"	70	31	5	5	0	3
"dominula"	70	32	6	6	0	6
"dominula"	70	33	7	7	0	4
"dominula"	70	34	5	5	0	4
"dominula"	70	35	6	6	0	5
"dominula"	70	36	7	7	1	2
"dominula"	70	37	6	6	0	4
"dominula"	70	38	5	5	0	4
"dominula"	70	39	6	6	0	4
"dominula"	70	40	6	6	0	4
"dominula"	70	41	6	6	0	4
"dominula"	70	42	5	5	0	4
"dominula"	70	43	5	5	0	4
"dominula"	70	44	7	7	0	2
"dominula"	70	45	5	5	0	3
"dominula"	70	46	5	5	0	5
"dominula"	70	47	5	5	0	5
"dominula"	70	48	5	5	0	4
"dominula"	70	49	6	6	0	3
"dominula"	70	50	6	6	0	4
"dominula"	70	51	6	6	0	4
"dominula"	70	52	6	6	0	4
"dominula"	70	53	6	6	0	5
"dominula"	70	54	7	7	0	5
"dominula"	70	55	6	6	1	3
"dominula"	70	56	6	6	0	3
"dominula"	70	57	4	4	0	1
"dominula"	70	58	4	4	0	3
"dominula"	70	59	6	6	0	6
"dominula"	70	60	7	7	0	5
"dominula"	70	61	4	4	0	3
"dominula"	70	62	4	4	0	2
"dominula"	70	63	5	5	0	3
"dominula"	70	64	5	5	0	5
"dominula"	70	65	8	8	0	3
"dominula"	70	66	5	5	0	3
"dominula"	70	67	5	5	0	5
"dominula"	70	68	5	5	0	5
"dominula"	70	69	6	6	0	4
"dominula"	70	70	6	6	0	5
"dominula"	80	1	6	6	0	0
"dominula"	80	2	7	7	0	0
"dominula"	80	3	6	6	0	1
"dominula"	80	4	7	7	0	0
"dominula"	80	5	6	6	0	0
"dominula"	80	6	5	5	0	4
"dominula"	80	7	7	7	0	1
"dominula"	80	8	4	4	0	0
"dominula"	80	9	5	5	0	3
"dominula"	80	10	8	8	0	3
"dominula"	80	11	6	6	0	3
"dominula"	80	12	5	5	0	1
"dominula"	80	13	8	8	0	2
"dominula"	80	14	5	5	0	4
"dominula"	80	15	3	3	0	3
"dominula"	80	16	4	4	0	2
"dominula"	80	17	7	7	0	4
"dominula"	80	18	5	5	1	3
"dominula"	80	19	6	6	0	4
"dominula"	80	20	6	6	0	3
"dominula"	80	21	6	6	0	3
"dominula"	80	22	6	6	0	4
"dominula"	80	23	7	7	0	4
"dominula"	80	24	7	7	0	4
"dominula"	80	25	7	7	0	5
"dominula"	80	26	4	4	1	3
"dominula"	80	27	5	5	0	3
"dominula"	80	28	5	5	0	3
"dominula"	80	29	6	6	0	5
"dominula"	80	30	8	8	0	4
"dominula"	80	31	5	5	0	5
"dominula"	80	32	7	7	0	4
"dominula"	80	33	5	5	0	3
"dominula"	80	34	5	5	0	5
"dominula"	80	35	5	5	0	4
"dominula"	80	36	8	8	0	4
"dominula"	80	37	7	7	0	4
"dominula"	80	38	5	5	0	2
"dominula"	80	39	4	4	0	2
"dominula"	80	40	6	6	0	4
"dominula"	80	41	4	4	0	2
"dominula"	80	42	6	6	0	3
"dominula"	80	43	6	6	0	4
"dominula"	80	44	6	6	0	6
"dominula"	80	45	5	5	0	3
"dominula"	80	46	7	7	1	4
"dominula"	80	47	5	5	0	3
"dominula"	80	48	8	8	1	4
"dominula"	80	49	4	4	0	2
"dominula"	80	50	4	4	0	4
"dominula"	80	51	6	6	0	6
"dominula"	80	52	5	5	0	3
"dominula"	80	53	6	6	0	4
"dominula"	80	54	4	4	0	4
"dominula"	80	55	6	6	0	5
"dominula"	80	56	5	5	0	4
"dominula"	80	57	5	5	0	4
"dominula"	80	58	8	8	0	7
"dominula"	80	59	6	6	0	5
"dominula"	80	60	5	5	0	4
"dominula"	80	61	6	6	0	4
"dominula"	80	62	6	6	0	3
"dominula"	80	63	5	5	0	3
"dominula"	80	64	7	7	0	5
"dominula"	80	65	5	5	0	4
"dominula"	80	66	6	6	0	5
"dominula"	80	67	5	5	0	4
"dominula"	80	68	6	6	0	4
"dominula"	80	69	4	4	1	2
"dominula"	80	70	6	6	0	6
"dominula"	80	71	7	7	0	4
"dominula"	80	72	6	6	0	4
"dominula"	80	73	5	5	0	4
"dominula"	80	74	7	7	0	6
"dominula"	80	75	5	5	0	3
"dominula"	80	76	5	5	0	4
"dominula"	80	77	4	4	0	4
"dominula"	80	78	7	7	0	7
"dominula"	80	79	6	6	0	5
"dominula"	80	80	4	4	0	3
"dominula"	90	1	4	4	0	0
"dominula"	90	2	5	5	0	0
"dominula"	90	3	5	5	0	0
"dominula"	90	4	6	6	0	2
"dominula"	90	5	5	5	0	1
"dominula"	90	6	8	8	0	2
"dominula"	90	7	6	6	0	2
"dominula"	90	8	4	4	0	1
"dominula"	90	9	7	7	0	2
"dominula"	90	10	7	7	0	4
"dominula"	90	11	6	6	0	2
"dominula"	90	12	6	6	0	4
"dominula"	90	13	6	6	1	4
"dominula"	90	14	6	6	0	3
"dominula"	90	15	4	4	0	4
"dominula"	90	16	5	5	0	3
"dominula"	90	17	4	4	0	4
"dominula"	90	18	5	5	0	3
"dominula"	90	19	7	7	1	3
"dominula"	90	20	5	5	0	3
"dominula"	90	21	5	5	0	4
"dominula"	90	22	6	6	0	3
"dominula"	90	23	5	5	0	3
"dominula"	90	24	5	5	0	5
"dominula"	90	25	4	4	0	4
"dominula"	90	26	7	7	0	5
"dominula"	90	27	7	7	0	3
"dominula"	90	28	6	6	0	4
"dominula"	90	29	7	7	0	3
"dominula"	90	30	8	8	0	5
"dominula"	90	31	4	4	0	3
"dominula"	90	32	7	7	0	3
"dominula"	90	33	5	5	0	5
"dominula"	90	34	7	7	0	5
"dominula"	90	35	7	7	0	2
"dominula"	90	36	8	8	0	4
"dominula"	90	37	6	6	0	4
"dominula"	90	38	5	5	0	3
"dominula"	90	39	7	7	0	3
"dominula"	90	40	5	5	0	2
"dominula"	90	41	6	6	0	6
"dominula"	90	42	8	8	0	8
"dominula"	90	43	6	6	0	3
"dominula"	90	44	6	6	0	1
"dominula"	90	45	6	6	0	3
"dominula"	90	46	4	4	0	4
"dominula"	90	47	5	5	0	4
"dominula"	90	48	6	6	1	5
"dominula"	90	49	8	8	0	5
"dominula"	90	50	4	4	0	2
"dominula"	90	51	5	5	0	1
"dominula"	90	52	5	5	0	3
"dominula"	90	53	6	6	0	3
"dominula"	90	54	5	5	0	4
"dominula"	90	55	6	6	0	4
"dominula"	90	56	6	6	1	4
"dominula"	90	57	4	4	0	4
"dominula"	90	58	6	6	0	4
"dominula"	90	59	5	5	0	4
"dominula"	90	60	6	6	0	4
"dominula"	90	61	5	5	0	3
"dominula"	90	62	5	5	0	4
"dominula"	90	63	7	7	0	6
"dominula"	90	64	4	4	1	2
"dominula"	90	65	5	5	0	3
"dominula"	90	66	7	7	0	5
"dominula"	90	67	7	7	0	6
"dominula"	90	68	4	4	0	3
"dominula"	90	69	5	5	0	3
"dominula"	90	70	5	5	0	5
"dominula"	90	71	7	7	0	5
"dominula"	90	72	6	6	0	4
"dominula"	90	73	6	6	0	5
"dominula"	90	74	6	6	0	5
"dominula"	90	75	5	5	0	4
"dominula"	90	76	6	6	0	6
"dominula"	90	77	6	6	0	5
"dominula"	90	78	6	6	1	3
"dominula"	90	79	6	6	0	4
"dominula"	90	80	8	8	0	6
"dominula"	90	81	6	6	0	5
"dominula"	90	82	3	3	0	3
"dominula"	90	83	4	4	0	3
"dominula"	90	84	5	5	0	4
"dominula"	90	85	7	7	0	4
"dominula"	90	86	3	3	0	3
"dominula"	90	87	5	5	0	4
"dominula"	90	88	4	4	0	4
"dominula"	90	89	7	7	0	5
"dominula"	90	90	7	7	1	3
"dominula"	100	1	6	6	0	0
"dominula"	100	2	5	5	0	0
"dominula"	100	3	8	8	0	2
"dominula"	100	4	6	6	1	1
"dominula"	100	5	6	6	0	0
"dominula"	100	6	4	4	1	2
"dominula"	100	7	6	6	0	2
"dominula"	100	8	4	4	0	3
"dominula"	100	9	6	6	0	2
"dominula"	100	10	6	6	0	3
"dominula"	100	11	5	5	0	5
