"Species"	"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"mean_coNested"	"mean_coNesters"
"dominula"	50	1	13	1	3.5	0.8	0.8	0	0	0.6
"dominula"	50	2	42	1	7.8	0.8	0.8	0	0.1	0.7
"dominula"	50	3	45	1	10.5	0.9	0.9	0	0.1	1
"dominula"	50	4	13	1	3.6	0.6	0.6	0	0.4	0.8
"dominula"	50	5	34	1	7.5	0.8	0.8	0	0.1	0.8
"dominula"	50	6	71	1	11.6	0.9	0.9	0	0.4	1.3
"dominula"	50	7	25	1	5	0.8	0.8	0	0.1	0.8
"dominula"	50	8	18	1	5.1	0.9	0.9	0	0.4	1.2
"dominula"	50	9	30	1	8.1	0.9	0.9	0	0.2	1
"dominula"	50	10	10	1	3	0.8	0.8	0	0.2	0.8
"dominula"	50	11	226	1	28.6	0.9	0.9	0.1	0.5	1.5
"dominula"	50	12	79	1	10.8	0.8	0.8	0	0.4	1.8
"dominula"	50	13	65	1	13.8	0.7	0.7	0	0.3	1.3
"dominula"	50	14	50	1	10.9	0.7	0.7	0	0.6	1.5
"dominula"	50	15	67	1	13.4	0.8	0.8	0.1	0.3	1
"dominula"	50	16	18	1	3.6	0.6	0.6	0	0.5	1.2
"dominula"	50	17	47	1	12.4	0.9	0.9	0	0.6	2.3
"dominula"	50	18	76	1	11	0.7	0.7	0.1	0.4	1.6
"dominula"	50	19	152	1	21.6	0.8	0.8	0	0.5	1.8
"dominula"	50	20	112	1	15.6	0.9	0.9	0	0.7	2.8
"dominula"	50	21	20	1	4.5	0.9	0.9	0	0.7	2.5
"dominula"	50	22	55	1	8.4	0.8	0.8	0	0.6	1.7
"dominula"	50	23	30	1	7.6	0.7	0.7	0	0.6	1.9
"dominula"	50	24	33	1	9.4	0.8	0.8	0	0.5	1.4
"dominula"	50	25	35	1	8.4	0.7	0.7	0	0.2	1.7
"dominula"	50	26	36	1	9.5	0.9	0.9	0	0.7	2.8
"dominula"	50	27	59	1	9	0.8	0.8	0	0.6	2.4
"dominula"	50	28	34	1	8.7	0.8	0.8	0	0.8	2.5
"dominula"	50	29	87	1	13.6	0.7	0.7	0	0.6	2.9
"dominula"	50	30	135	1	16	0.8	0.8	0	0.7	2.5
"dominula"	50	31	51	1	11.8	0.7	0.7	0	0.6	2.8
"dominula"	50	32	110	1	15.2	0.9	0.9	0	0.4	2
"dominula"	50	33	34	1	9.3	0.8	0.8	0	0.6	2.9
"dominula"	50	34	53	1	12	0.8	0.8	0	0.7	3.5
"dominula"	50	35	27	1	8.8	0.9	0.9	0	0.7	3
"dominula"	50	36	101	1	16.2	0.8	0.8	0	0.7	3.4
"dominula"	50	37	197	1	25.9	0.7	0.7	0	0.5	2.5
"dominula"	50	38	61	1	14	0.8	0.8	0	0.6	3.6
"dominula"	50	39	26	1	7.8	0.8	0.8	0	0.8	3.5
"dominula"	50	40	344	1	38.1	0.9	0.9	0	0.7	4.3
"dominula"	50	41	37	1	6.8	0.6	0.6	0	0.6	2.5
"dominula"	50	42	81	1	17.8	0.7	0.7	0	0.4	2.1
"dominula"	50	43	80	1	10.6	0.8	0.8	0	0.7	4.6
"dominula"	50	44	25	1	7.6	0.8	0.8	0	0.8	4.1
"dominula"	50	45	47	1	10.6	0.9	0.9	0	0.3	2
"dominula"	50	46	45	1	9.1	0.8	0.8	0.1	0.5	1.6
"dominula"	50	47	8	1	3.6	0.8	0.8	0	0.8	4.4
"dominula"	50	48	229	1	26.5	0.8	0.8	0	0.8	3.9
"dominula"	50	49	23	1	5.6	0.8	0.8	0	0.7	4.4
"dominula"	50	50	27	1	6.2	0.7	0.7	0.1	0.3	1.7
"dominula"	60	1	48	1	13.8	0.6	0.6	0	0	0.2
"dominula"	60	2	89	1	19.6	0.4	0.4	0	0	-0.1
"dominula"	60	3	194	1	37.6	0.5	0.5	0.1	0	0
"dominula"	60	4	103	1	35.5	0.8	0.8	0	0	0.6
"dominula"	60	5	74	1	18.7	0.6	0.6	0	0.1	0.3
"dominula"	60	6	159	1	24	0.4	0.4	0	0.2	0.1
"dominula"	60	7	50	1	15.9	0.5	0.5	0	0	0
"dominula"	60	8	47	1	12.4	0.5	0.5	0	0.2	0.2
"dominula"	60	9	55	1	17.9	0.5	0.5	0	0.1	0.1
"dominula"	60	10	61	1	20.9	0.6	0.6	0	0.4	0.6
"dominula"	60	11	36	1	13.1	0.5	0.5	0	0.2	0.3
"dominula"	60	12	86	2	25	0.5	0.5	0	0.1	0.1
"dominula"	60	13	126	1	22.2	0.7	0.7	0.1	0.2	0.8
"dominula"	60	14	71	1	19.5	0.4	0.4	0.2	0	-0.2
"dominula"	60	15	89	1	21.1	0.7	0.7	0	0.4	1.2
"dominula"	60	16	30	1	12.1	0.7	0.7	0	0.4	1.2
"dominula"	60	17	37	1	11.9	0.6	0.6	0	0.4	0.9
"dominula"	60	18	189	1	33.2	0.6	0.6	0	0.4	1
"dominula"	60	19	62	1	18.9	0.6	0.6	0	0.4	0.7
"dominula"	60	20	49	1	14	0.6	0.6	0	0.3	1
"dominula"	60	21	93	1	23.4	0.8	0.8	0	0.4	1.5
"dominula"	60	22	178	1	25.6	0.4	0.4	0	0.4	0.7
"dominula"	60	23	185	1	37	0.4	0.4	0	0.1	0.4
"dominula"	60	24	149	1	24.5	0.6	0.6	0	0.4	1.1
"dominula"	60	25	68	1	27.5	0.5	0.5	0	0.3	1.3
"dominula"	60	26	82	1	28.1	0.4	0.4	0	0.3	0.8
"dominula"	60	27	46	1	13.9	0.4	0.4	0	0.3	0.8
"dominula"	60	28	96	1	25.8	0.8	0.8	0	0.5	2
"dominula"	60	29	74	1	19.1	0.5	0.5	0	0.4	1.3
"dominula"	60	30	34	1	14.6	0.5	0.5	0	0.4	1.3
"dominula"	60	31	57	1	19.1	0.8	0.8	0	0.6	2.7
"dominula"	60	32	56	1	12.2	0.6	0.6	0	0.2	1.3
"dominula"	60	33	45	1	19.5	0.6	0.6	0.1	0.2	1
"dominula"	60	34	78	1	24.8	0.6	0.6	0	0.5	1.7
"dominula"	60	35	55	1	17.5	0.5	0.5	0.2	0.1	0.3
"dominula"	60	36	52	1	13.9	0.5	0.5	0	0.4	2.3
"dominula"	60	37	69	1	15.3	0.6	0.6	0	0.4	1.6
"dominula"	60	38	49	1	14.4	0.7	0.7	0	0.6	2.4
"dominula"	60	39	77	2	33	0.5	0.5	0.1	0.3	0.7
"dominula"	60	40	33	1	12.2	0.6	0.6	0.1	0.5	2.6
"dominula"	60	41	112	1	29.2	0.6	0.6	0	0.5	1.3
"dominula"	60	42	61	1	13.3	0.6	0.6	0	0.5	1.3
"dominula"	60	43	57	1	17	0.4	0.4	0	0.3	1
"dominula"	60	44	86	1	29.1	0.6	0.6	0	0.3	1.1
"dominula"	60	45	36	1	10.9	0.5	0.5	0	0.4	1.3
"dominula"	60	46	43	1	11.6	0.5	0.5	0	0.5	2.1
"dominula"	60	47	134	1	25.2	0.5	0.5	0	0.5	2.1
"dominula"	60	48	184	2	34.2	0.7	0.7	0	0.3	0.7
"dominula"	60	49	168	1	30.4	0.5	0.5	0	0.4	1.7
"dominula"	60	50	37	1	11.6	0.5	0.5	0.1	0.4	1.8
"dominula"	60	51	28	1	10.7	0.6	0.6	0	0.3	1.6
"dominula"	60	52	68	1	26.1	0.6	0.6	0	0.5	1.9
"dominula"	60	53	30	1	9	0.6	0.6	0	0.5	2.1
"dominula"	60	54	75	1	18.7	0.5	0.5	0	0.4	1.1
"dominula"	60	55	65	1	19.3	0.8	0.8	0	0.8	3.7
"dominula"	60	56	73	1	18.9	0.5	0.5	0	0.4	1.3
"dominula"	60	57	106	1	21.7	0.8	0.8	0	0.5	3.6
"dominula"	60	58	71	1	23.5	0.8	0.8	0.1	0.4	2.7
"dominula"	60	59	63	1	25.9	0.7	0.7	0	0.4	2.2
"dominula"	60	60	35	1	9.9	0.6	0.6	0	0.6	2.4
"dominula"	70	1	159	1	35.6	0.4	0.4	0	0	-0.2
"dominula"	70	2	133	1	40.1	0.7	0.7	0	0	0.4
"dominula"	70	3	120	1	34.7	0.6	0.6	0	0.1	0.3
"dominula"	70	4	59	1	22.7	0.4	0.4	0	0	-0.2
"dominula"	70	5	71	1	26.9	0.6	0.6	0	0.1	0.3
"dominula"	70	6	129	1	31.8	0.4	0.4	0	0	-0.2
"dominula"	70	7	42	2	12.3	0.4	0.4	0	0	-0.2
"dominula"	70	8	57	1	21.8	0.5	0.5	0	0.2	0.2
"dominula"	70	9	57	2	25.9	0.5	0.5	0	0.3	0.4
"dominula"	70	10	142	1	28.5	0.3	0.3	0	0.1	-0.2
"dominula"	70	11	69	1	26.2	0.4	0.4	0	0.3	0.2
"dominula"	70	12	75	1	28.9	0.3	0.3	0.1	0.1	-0.3
"dominula"	70	13	41	1	15.1	0.3	0.3	0	0.2	-0.1
"dominula"	70	14	89	1	28.6	0.4	0.4	0	0.3	0.2
"dominula"	70	15	159	1	27.9	0.3	0.3	0	0.3	0.2
"dominula"	70	16	221	1	46.8	0.7	0.7	0	0.3	0.9
"dominula"	70	17	68	1	17.3	0.3	0.3	0	0.3	0.5
"dominula"	70	18	140	1	44.7	0.5	0.5	0	0.3	0.8
"dominula"	70	19	120	2	52.2	0.4	0.4	0	0	-0.2
"dominula"	70	20	142	1	55.9	0.5	0.5	0	0.3	0.8
"dominula"	70	21	126	1	36.4	0.3	0.3	0	0.2	0.1
"dominula"	70	22	96	1	22.9	0.4	0.4	0	0.2	0.7
"dominula"	70	23	286	1	40.7	0.4	0.4	0	0.3	0.6
"dominula"	70	24	70	1	23.3	0.3	0.3	0	0.2	0.2
"dominula"	70	25	61	1	25.9	0.3	0.3	0	0.3	0.6
"dominula"	70	26	165	2	30.3	0.4	0.4	0	0.1	0
"dominula"	70	27	59	1	16.4	0.4	0.4	0	0.3	1
"dominula"	70	28	55	2	16.1	0.4	0.4	0	0.3	0.6
"dominula"	70	29	108	1	23.1	0.2	0.2	0	0.2	0.1
"dominula"	70	30	178	1	36.5	0.3	0.3	0	0.3	1.1
"dominula"	70	31	132	1	38.2	0.3	0.3	0	0.1	0.1
"dominula"	70	32	76	1	19.9	0.3	0.3	0	0.2	-0.2
"dominula"	70	33	137	1	35.4	0.5	0.5	0	0.2	0.8
"dominula"	70	34	58	1	21.2	0.4	0.4	0	0.3	1.5
"dominula"	70	35	94	1	23.1	0.4	0.4	0	0.2	1
"dominula"	70	36	93	1	37.4	0.3	0.3	0	0.3	0.6
"dominula"	70	37	149	1	35.4	0.2	0.2	0	0.2	0.3
"dominula"	70	38	126	1	47	0.2	0.2	0	0.1	0
"dominula"	70	39	55	1	22.1	0.4	0.4	0	0.3	0.5
"dominula"	70	40	91	1	29.7	0.2	0.2	0	0.2	0.2
"dominula"	70	41	76	1	21.9	0.4	0.4	0	0.2	1
"dominula"	70	42	125	1	26.4	0.4	0.4	0	0.1	0.3
"dominula"	70	43	63	1	28.4	0.4	0.4	0	0.2	0.4
"dominula"	70	44	154	1	29.8	0.3	0.3	0	0.2	0.5
"dominula"	70	45	138	1	32.6	0.2	0.2	0	0.2	0.8
"dominula"	70	46	82	1	28.5	0.3	0.3	0	0.2	0.3
"dominula"	70	47	80	1	26.5	0.4	0.4	0	0.2	0.9
"dominula"	70	48	45	1	17.7	0.3	0.3	0	0.2	1
"dominula"	70	49	97	1	30.7	0.4	0.4	0	0.3	2
"dominula"	70	50	251	1	50.6	0.4	0.4	0	0.4	1.1
"dominula"	70	51	114	3	29.6	0.4	0.4	0	0.2	0.8
"dominula"	70	52	92	1	23.8	0.4	0.4	0.1	0.1	0.5
"dominula"	70	53	89	1	33.2	0.5	0.5	0	0.1	0.4
"dominula"	70	54	77	1	20.3	0.3	0.3	0	0.3	1
"dominula"	70	55	70	1	20.3	0.4	0.4	0	0.3	1.3
"dominula"	70	56	71	1	18.3	0.4	0.4	0.1	0.3	1.4
"dominula"	70	57	130	1	47.1	0.4	0.4	0	0.3	1.2
"dominula"	70	58	97	1	33.7	0.4	0.4	0	0.1	0.5
"dominula"	70	59	65	1	16.2	0.4	0.4	0	0.3	1.5
"dominula"	70	60	62	3	26.8	0.4	0.4	0	0.1	0.1
"dominula"	70	61	148	1	33	0.6	0.6	0	0.5	3.1
"dominula"	70	62	50	2	21.7	0.4	0.4	0	0.1	0.7
"dominula"	70	63	40	1	16.7	0.3	0.3	0	0.2	1.5
"dominula"	70	64	66	1	20.1	0.4	0.4	0	0.1	0.4
"dominula"	70	65	63	1	23.2	0.3	0.3	0	0.2	0
"dominula"	70	66	75	1	29.9	0.2	0.2	0	0.1	0.1
"dominula"	70	67	189	1	48.4	0.5	0.5	0	0.4	1.1
"dominula"	70	68	138	1	48.8	0.5	0.5	0.1	0.2	1.3
"dominula"	70	69	83	2	29	0.4	0.4	0	0.4	0.4
"dominula"	70	70	46	3	18.2	0.4	0.4	0	0.1	-0.1
"dominula"	80	1	92	1	16.3	0.7	0.7	0	0	0.4
"dominula"	80	2	59	1	14.3	0.7	0.7	0	0.2	0.6
"dominula"	80	3	50	1	13.2	0.8	0.8	0	0.2	0.8
"dominula"	80	4	120	1	18	0.6	0.6	0	0.2	0.4
"dominula"	80	5	103	1	18.2	0.7	0.7	0	0.2	0.6
"dominula"	80	6	113	1	22.8	0.8	0.8	0	0.1	0.7
"dominula"	80	7	124	1	21.3	0.9	0.9	0	0.4	1.3
"dominula"	80	8	26	1	8.4	0.7	0.7	0	0.3	1
"dominula"	80	9	118	1	18.5	0.9	0.9	0	0.3	1.5
"dominula"	80	10	66	1	15.5	0.7	0.7	0	0.3	1
"dominula"	80	11	73	1	15.2	0.7	0.7	0.2	0	0.4
"dominula"	80	12	68	1	12.3	0.7	0.7	0	0.2	0.6
"dominula"	80	13	63	1	14.1	0.6	0.6	0	0.2	0.5
"dominula"	80	14	203	1	38.8	0.7	0.7	0	0.2	0.7
"dominula"	80	15	103	1	20	0.7	0.7	0	0.4	1.4
"dominula"	80	16	27	1	8.5	0.5	0.5	0.1	0.2	0.4
"dominula"	80	17	94	1	23.8	0.4	0.4	0	0.3	0.5
"dominula"	80	18	59	1	22.4	0.7	0.7	0	0.2	0.6
"dominula"	80	19	30	1	10.1	0.7	0.7	0	0.5	1.2
"dominula"	80	20	40	1	10.6	0.7	0.7	0.1	0.3	0.9
"dominula"	80	21	78	1	14.4	0.6	0.6	0	0.5	1.2
"dominula"	80	22	25	1	6.2	0.7	0.7	0.1	0.2	0.6
"dominula"	80	23	350	1	45.2	0.6	0.6	0	0.4	1.7
"dominula"	80	24	118	1	22.7	0.9	0.9	0	0.7	2.4
"dominula"	80	25	54	1	15.4	0.4	0.4	0	0.4	1.2
"dominula"	80	26	35	1	8.6	0.6	0.6	0	0.4	1.3
"dominula"	80	27	105	1	22.9	0.7	0.7	0	0.6	2.1
"dominula"	80	28	144	1	22.7	0.6	0.6	0	0.4	1.7
"dominula"	80	29	43	1	10.7	0.7	0.7	0.1	0.5	1.8
"dominula"	80	30	73	1	18	0.4	0.4	0	0.3	1.7
"dominula"	80	31	24	1	8.7	0.8	0.8	0	0.5	2.5
"dominula"	80	32	115	2	18.8	0.7	0.7	0	0.5	1.5
"dominula"	80	33	56	1	13.3	0.8	0.8	0	0.6	3.3
"dominula"	80	34	75	1	18.3	0.7	0.7	0	0.5	2.1
"dominula"	80	35	74	1	13.4	0.9	0.9	0	0.5	2.4
"dominula"	80	36	41	1	11.2	0.6	0.6	0	0.5	2.4
"dominula"	80	37	29	1	8.6	0.7	0.7	0	0.6	2.3
"dominula"	80	38	34	1	11.3	0.8	0.8	0	0.7	2.9
"dominula"	80	39	14	1	7	0.7	0.7	0	0.7	2.6
"dominula"	80	40	80	1	26.1	0.6	0.6	0.1	0.4	2.1
"dominula"	80	41	88	1	16.7	0.7	0.7	0	0.5	1.9
"dominula"	80	42	111	1	21.2	0.8	0.8	0	0.6	2.6
"dominula"	80	43	59	1	14.1	0.7	0.7	0.1	0.6	3.3
"dominula"	80	44	57	1	16.5	0.6	0.6	0	0.6	3
"dominula"	80	45	78	1	18.1	0.4	0.4	0	0.4	2.7
"dominula"	80	46	50	1	16.3	0.7	0.7	0.1	0.4	2.8
"dominula"	80	47	129	1	33.6	0.7	0.7	0	0.6	3.4
"dominula"	80	48	102	1	15.4	0.6	0.6	0.1	0.3	0.9
"dominula"	80	49	99	1	17.8	0.8	0.8	0	0.4	1.7
"dominula"	80	50	101	1	22.4	0.9	0.9	0	0.5	2.9
"dominula"	80	51	8	1	3.6	0.8	0.8	0	0.7	3.3
"dominula"	80	52	59	1	16.4	0.6	0.6	0	0.6	2.7
"dominula"	80	53	52	1	14.7	0.8	0.8	0	0.5	2.7
"dominula"	80	54	65	1	20.6	0.7	0.7	0	0.5	2.2
