"Species"	"number_wasps"	"w"	"total_alive"	"total_nested"	"total_usurp"	"total_coNested"
"dominula"	50	1	8	8	0	0
"dominula"	50	2	8	8	0	1
"dominula"	50	3	9	9	0	1
"dominula"	50	4	6	6	0	4
"dominula"	50	5	8	8	0	1
"dominula"	50	6	9	9	0	4
"dominula"	50	7	8	8	0	1
"dominula"	50	8	9	9	0	4
"dominula"	50	9	9	9	0	2
"dominula"	50	10	8	8	0	2
"dominula"	50	11	9	9	1	5
"dominula"	50	12	8	8	0	4
"dominula"	50	13	7	7	0	3
"dominula"	50	14	7	7	0	6
"dominula"	50	15	8	8	1	3
"dominula"	50	16	6	6	0	5
"dominula"	50	17	9	9	0	6
"dominula"	50	18	7	7	1	4
"dominula"	50	19	8	8	0	5
"dominula"	50	20	9	9	0	7
"dominula"	50	21	9	9	0	7
"dominula"	50	22	8	8	0	6
"dominula"	50	23	7	7	0	6
"dominula"	50	24	8	8	0	5
"dominula"	50	25	7	7	0	2
"dominula"	50	26	9	9	0	7
"dominula"	50	27	8	8	0	6
"dominula"	50	28	8	8	0	8
"dominula"	50	29	7	7	0	6
"dominula"	50	30	8	8	0	7
"dominula"	50	31	7	7	0	6
"dominula"	50	32	9	9	0	4
"dominula"	50	33	8	8	0	6
"dominula"	50	34	8	8	0	7
"dominula"	50	35	9	9	0	7
"dominula"	50	36	8	8	0	7
"dominula"	50	37	7	7	0	5
"dominula"	50	38	8	8	0	6
"dominula"	50	39	8	8	0	8
"dominula"	50	40	9	9	0	7
"dominula"	50	41	6	6	0	6
"dominula"	50	42	7	7	0	4
"dominula"	50	43	8	8	0	7
"dominula"	50	44	8	8	0	8
"dominula"	50	45	9	9	0	3
"dominula"	50	46	8	8	1	5
"dominula"	50	47	8	8	0	8
"dominula"	50	48	8	8	0	8
"dominula"	50	49	8	8	0	7
"dominula"	50	50	7	7	1	3
"dominula"	60	1	6	6	0	0
"dominula"	60	2	4	4	0	0
"dominula"	60	3	5	5	1	0
"dominula"	60	4	8	8	0	0
"dominula"	60	5	6	6	0	1
"dominula"	60	6	4	4	0	2
"dominula"	60	7	5	5	0	0
"dominula"	60	8	5	5	0	2
"dominula"	60	9	5	5	0	1
"dominula"	60	10	6	6	0	4
"dominula"	60	11	5	5	0	2
"dominula"	60	12	5	5	0	1
"dominula"	60	13	7	7	1	2
"dominula"	60	14	4	4	2	0
"dominula"	60	15	7	7	0	4
"dominula"	60	16	7	7	0	4
"dominula"	60	17	6	6	0	4
"dominula"	60	18	6	6	0	4
"dominula"	60	19	6	6	0	4
"dominula"	60	20	6	6	0	3
"dominula"	60	21	8	8	0	4
"dominula"	60	22	4	4	0	4
"dominula"	60	23	4	4	0	1
"dominula"	60	24	6	6	0	4
"dominula"	60	25	5	5	0	3
"dominula"	60	26	4	4	0	3
"dominula"	60	27	4	4	0	3
"dominula"	60	28	8	8	0	5
"dominula"	60	29	5	5	0	4
"dominula"	60	30	5	5	0	4
"dominula"	60	31	8	8	0	6
"dominula"	60	32	6	6	0	2
"dominula"	60	33	6	6	1	2
"dominula"	60	34	6	6	0	5
"dominula"	60	35	5	5	2	1
"dominula"	60	36	5	5	0	4
"dominula"	60	37	6	6	0	4
"dominula"	60	38	7	7	0	6
"dominula"	60	39	5	5	1	3
"dominula"	60	40	6	6	1	5
"dominula"	60	41	6	6	0	5
"dominula"	60	42	6	6	0	5
"dominula"	60	43	4	4	0	3
"dominula"	60	44	6	6	0	3
"dominula"	60	45	5	5	0	4
"dominula"	60	46	5	5	0	5
"dominula"	60	47	5	5	0	5
"dominula"	60	48	7	7	0	3
"dominula"	60	49	5	5	0	4
"dominula"	60	50	5	5	1	4
"dominula"	60	51	6	6	0	3
"dominula"	60	52	6	6	0	5
"dominula"	60	53	6	6	0	5
"dominula"	60	54	5	5	0	4
"dominula"	60	55	8	8	0	8
"dominula"	60	56	5	5	0	4
"dominula"	60	57	8	8	0	5
"dominula"	60	58	8	8	1	4
"dominula"	60	59	7	7	0	4
"dominula"	60	60	6	6	0	6
"dominula"	70	1	4	4	0	0
"dominula"	70	2	7	7	0	0
"dominula"	70	3	6	6	0	1
"dominula"	70	4	4	4	0	0
"dominula"	70	5	6	6	0	1
"dominula"	70	6	4	4	0	0
"dominula"	70	7	4	4	0	0
"dominula"	70	8	5	5	0	2
"dominula"	70	9	5	5	0	3
"dominula"	70	10	3	3	0	1
"dominula"	70	11	4	4	0	3
"dominula"	70	12	3	3	1	1
"dominula"	70	13	3	3	0	2
"dominula"	70	14	4	4	0	3
"dominula"	70	15	3	3	0	3
"dominula"	70	16	7	7	0	3
"dominula"	70	17	3	3	0	3
"dominula"	70	18	5	5	0	3
"dominula"	70	19	4	4	0	0
"dominula"	70	20	5	5	0	3
"dominula"	70	21	3	3	0	2
"dominula"	70	22	4	4	0	2
"dominula"	70	23	4	4	0	3
"dominula"	70	24	3	3	0	2
"dominula"	70	25	3	3	0	3
"dominula"	70	26	4	4	0	1
"dominula"	70	27	4	4	0	3
"dominula"	70	28	4	4	0	3
"dominula"	70	29	2	2	0	2
"dominula"	70	30	3	3	0	3
"dominula"	70	31	3	3	0	1
"dominula"	70	32	3	3	0	2
"dominula"	70	33	5	5	0	2
"dominula"	70	34	4	4	0	3
"dominula"	70	35	4	4	0	2
"dominula"	70	36	3	3	0	3
"dominula"	70	37	2	2	0	2
"dominula"	70	38	2	2	0	1
"dominula"	70	39	4	4	0	3
"dominula"	70	40	2	2	0	2
"dominula"	70	41	4	4	0	2
"dominula"	70	42	4	4	0	1
"dominula"	70	43	4	4	0	2
"dominula"	70	44	3	3	0	2
"dominula"	70	45	2	2	0	2
"dominula"	70	46	3	3	0	2
"dominula"	70	47	4	4	0	2
"dominula"	70	48	3	3	0	2
"dominula"	70	49	4	4	0	3
"dominula"	70	50	4	4	0	4
"dominula"	70	51	4	4	0	2
"dominula"	70	52	4	4	1	1
"dominula"	70	53	5	5	0	1
"dominula"	70	54	3	3	0	3
"dominula"	70	55	4	4	0	3
"dominula"	70	56	4	4	1	3
"dominula"	70	57	4	4	0	3
"dominula"	70	58	4	4	0	1
"dominula"	70	59	4	4	0	3
"dominula"	70	60	4	4	0	1
"dominula"	70	61	6	6	0	5
"dominula"	70	62	4	4	0	1
"dominula"	70	63	3	3	0	2
"dominula"	70	64	4	4	0	1
"dominula"	70	65	3	3	0	2
"dominula"	70	66	2	2	0	1
"dominula"	70	67	5	5	0	4
"dominula"	70	68	5	5	1	2
"dominula"	70	69	4	4	0	4
"dominula"	70	70	4	4	0	1
"dominula"	80	1	7	7	0	0
"dominula"	80	2	7	7	0	2
"dominula"	80	3	8	8	0	2
"dominula"	80	4	6	6	0	2
"dominula"	80	5	7	7	0	2
"dominula"	80	6	8	8	0	1
"dominula"	80	7	9	9	0	4
"dominula"	80	8	7	7	0	3
"dominula"	80	9	9	9	0	3
"dominula"	80	10	7	7	0	3
"dominula"	80	11	7	7	2	0
"dominula"	80	12	7	7	0	2
"dominula"	80	13	6	6	0	2
"dominula"	80	14	7	7	0	2
"dominula"	80	15	7	7	0	4
"dominula"	80	16	5	5	1	2
"dominula"	80	17	4	4	0	3
"dominula"	80	18	7	7	0	2
"dominula"	80	19	7	7	0	5
"dominula"	80	20	7	7	1	3
"dominula"	80	21	6	6	0	5
"dominula"	80	22	7	7	1	2
"dominula"	80	23	6	6	0	4
"dominula"	80	24	9	9	0	7
"dominula"	80	25	4	4	0	4
"dominula"	80	26	6	6	0	4
"dominula"	80	27	7	7	0	6
"dominula"	80	28	6	6	0	4
"dominula"	80	29	7	7	1	5
"dominula"	80	30	4	4	0	3
"dominula"	80	31	8	8	0	5
"dominula"	80	32	7	7	0	5
"dominula"	80	33	8	8	0	6
"dominula"	80	34	7	7	0	5
"dominula"	80	35	9	9	0	5
"dominula"	80	36	6	6	0	5
"dominula"	80	37	7	7	0	6
"dominula"	80	38	8	8	0	7
"dominula"	80	39	7	7	0	7
"dominula"	80	40	6	6	1	4
"dominula"	80	41	7	7	0	5
"dominula"	80	42	8	8	0	6
"dominula"	80	43	7	7	1	6
"dominula"	80	44	6	6	0	6
"dominula"	80	45	4	4	0	4
"dominula"	80	46	7	7	1	4
"dominula"	80	47	7	7	0	6
"dominula"	80	48	6	6	1	3
"dominula"	80	49	8	8	0	4
"dominula"	80	50	9	9	0	5
"dominula"	80	51	8	8	0	7
"dominula"	80	52	6	6	0	6
"dominula"	80	53	8	8	0	5
"dominula"	80	54	7	7	0	5
"dominula"	80	55	7	7	1	3
"dominula"	80	56	6	6	0	6
"dominula"	80	57	7	7	0	7
"dominula"	80	58	7	7	0	6
"dominula"	80	59	8	8	0	5
"dominula"	80	60	6	6	0	3
"dominula"	80	61	5	5	0	4
"dominula"	80	62	6	6	0	5
"dominula"	80	63	7	7	0	6
"dominula"	80	64	6	6	0	5
"dominula"	80	65	7	7	0	5
"dominula"	80	66	8	8	0	6
"dominula"	80	67	8	8	0	8
"dominula"	80	68	7	7	0	4
"dominula"	80	69	7	7	0	7
"dominula"	80	70	6	6	0	4
"dominula"	80	71	7	7	1	6
"dominula"	80	72	8	8	0	7
"dominula"	80	73	8	8	1	7
"dominula"	80	74	8	8	0	6
"dominula"	80	75	7	7	0	6
"dominula"	80	76	5	5	0	3
"dominula"	80	77	8	8	1	7
"dominula"	80	78	6	6	0	6
"dominula"	80	79	6	6	0	5
"dominula"	80	80	6	6	0	4
"dominula"	90	1	6	6	0	0
"dominula"	90	2	7	7	0	0
"dominula"	90	3	6	6	0	3
"dominula"	90	4	6	6	0	1
