"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"coNested"	"X"	"currentX"	"currentY"
"dominula"	50	1	8	75	42	1	1	0	0	1	73	46
"dominula"	50	2	2	75	42	0	0	0	0	-1	74	42
"dominula"	50	3	3	75	42	1	1	0	0	1	73	44
"dominula"	50	4	3	75	42	1	1	0	0	1	73	45
"dominula"	50	5	38	75	42	0	0	0	0	-1	79	51
"dominula"	50	6	61	75	42	0	0	0	0	-1	82	57
"dominula"	50	7	7	75	42	1	1	0	1	2	73	45
"dominula"	50	8	5	75	42	0	0	0	0	-1	77	45
"dominula"	50	9	15	75	42	0	0	0	0	-1	81	51
"dominula"	50	10	2	75	42	1	1	0	0	1	73	43
"dominula"	50	11	78	75	42	0	0	0	0	-1	76	65
"dominula"	50	12	4	75	42	0	0	0	0	-1	77	43
"dominula"	50	13	2	75	42	1	1	0	0	1	73	42
"dominula"	50	14	30	75	42	0	0	0	0	-1	76	57
"dominula"	50	15	11	75	42	1	1	0	1	3	73	45
"dominula"	50	16	10	75	42	0	0	0	0	-1	75	46
"dominula"	50	17	17	75	42	0	0	0	0	-1	80	46
"dominula"	50	18	1	75	42	0	0	0	0	-1	75	42
"dominula"	50	19	1	75	42	0	0	0	0	-1	75	42
"dominula"	50	20	40	75	42	0	0	0	0	-1	82	57
"dominula"	50	21	3	75	42	1	1	0	0	1	73	41
"dominula"	50	22	42	75	42	0	0	0	0	-1	78	53
"dominula"	50	23	14	75	42	0	0	0	0	-1	82	49
"dominula"	50	24	1	75	42	0	0	0	0	-1	75	42
"dominula"	50	25	48	75	42	0	0	0	0	-1	82	65
"dominula"	50	26	64	75	42	1	1	0	0	1	85	75
"dominula"	50	27	3	75	42	0	0	0	0	-1	74	44
"dominula"	50	28	2	75	42	0	0	0	0	-1	76	42
"dominula"	50	29	5	75	42	1	1	0	1	4	73	45
"dominula"	50	30	26	75	42	0	0	0	0	-1	78	46
"dominula"	50	31	30	75	42	1	1	0	0	1	73	47
"dominula"	50	32	16	75	42	0	0	0	0	-1	78	45
"dominula"	50	33	44	75	42	0	0	0	0	-1	90	58
"dominula"	50	34	5	75	42	1	1	0	1	5	73	45
"dominula"	50	35	61	75	42	0	0	0	0	-1	81	58
"dominula"	50	36	5	75	42	0	0	0	0	-1	74	42
"dominula"	50	37	3	75	42	1	1	0	1	6	73	45
"dominula"	50	38	1	75	42	0	0	0	0	-1	75	42
"dominula"	50	39	5	75	42	0	0	0	0	-1	76	45
"dominula"	50	40	18	75	42	0	0	0	0	-1	80	52
"dominula"	50	41	3	75	42	1	1	0	1	2	73	41
"dominula"	50	42	33	75	42	0	0	0	0	-1	78	56
"dominula"	50	43	20	75	42	0	0	0	0	-1	82	48
"dominula"	50	44	6	75	42	0	0	0	0	-1	78	45
"dominula"	50	45	15	75	42	0	0	0	0	-1	74	48
"dominula"	50	46	18	75	42	1	1	0	1	2	73	44
"dominula"	50	47	50	75	42	0	0	0	0	-1	70	58
"dominula"	50	48	3	75	42	0	0	0	0	-1	77	43
"dominula"	50	49	4	75	42	1	1	0	0	1	72	45
"dominula"	50	50	102	75	42	1	1	0	0	1	85	69
"dominula"	50	1	30	69	94	0	0	0	0	-1	70	95
"dominula"	50	2	58	69	94	0	0	0	0	-1	70	100
"dominula"	50	3	139	69	94	0	0	0	0	-1	76	99
"dominula"	50	4	43	69	94	0	0	0	0	-1	67	100
"dominula"	50	5	9	69	94	0	0	0	0	-1	68	99
"dominula"	50	6	63	69	94	0	0	0	0	-1	74	99
"dominula"	50	7	29	69	94	0	0	0	0	-1	72	100
"dominula"	50	8	5	69	94	0	0	0	0	-1	70	95
"dominula"	50	9	36	69	94	0	0	0	0	-1	67	99
"dominula"	50	10	16	69	94	0	0	0	0	-1	67	99
"dominula"	50	11	44	69	94	0	0	0	0	-1	60	99
"dominula"	50	12	42	69	94	0	0	0	0	-1	82	100
"dominula"	50	13	24	69	94	0	0	0	0	-1	73	99
"dominula"	50	14	15	69	94	0	0	0	0	-1	68	100
"dominula"	50	15	11	69	94	0	0	0	0	-1	71	94
"dominula"	50	16	12	69	94	0	0	0	0	-1	65	96
"dominula"	50	17	55	69	94	0	0	0	0	-1	74	100
"dominula"	50	18	114	69	94	0	0	0	0	-1	62	99
"dominula"	50	19	7	69	94	0	0	0	0	-1	65	98
"dominula"	50	20	159	69	94	0	0	0	0	-1	64	99
"dominula"	50	21	176	69	94	0	0	0	0	-1	56	99
"dominula"	50	22	28	69	94	0	0	0	0	-1	66	100
"dominula"	50	23	42	69	94	0	0	0	0	-1	77	98
"dominula"	50	24	29	69	94	0	0	0	0	-1	68	100
"dominula"	50	25	22	69	94	0	0	0	0	-1	75	100
"dominula"	50	26	41	69	94	0	0	0	0	-1	72	99
"dominula"	50	27	31	69	94	0	0	0	0	-1	66	100
"dominula"	50	28	40	69	94	0	0	0	0	-1	65	98
"dominula"	50	29	8	69	94	0	0	0	0	-1	72	97
"dominula"	50	30	20	69	94	0	0	0	0	-1	73	100
"dominula"	50	31	104	69	94	0	0	0	0	-1	65	100
"dominula"	50	32	19	69	94	0	0	0	0	-1	70	98
"dominula"	50	33	8	69	94	0	0	0	0	-1	68	96
"dominula"	50	34	20	69	94	0	0	0	0	-1	69	98
"dominula"	50	35	33	69	94	0	0	0	0	-1	80	96
"dominula"	50	36	58	69	94	0	0	0	0	-1	74	98
"dominula"	50	37	9	69	94	0	0	0	0	-1	68	97
"dominula"	50	38	1	69	94	0	0	0	0	-1	69	94
"dominula"	50	39	81	69	94	0	0	0	0	-1	61	97
"dominula"	50	40	23	69	94	0	0	0	0	-1	69	95
"dominula"	50	41	102	69	94	0	0	0	0	-1	67	100
"dominula"	50	42	83	69	94	0	0	0	0	-1	52	100
"dominula"	50	43	85	69	94	0	0	0	0	-1	72	95
"dominula"	50	44	55	69	94	0	0	0	0	-1	77	99
"dominula"	50	45	39	69	94	0	0	0	0	-1	68	99
"dominula"	50	46	26	69	94	0	0	0	0	-1	67	99
"dominula"	50	47	26	69	94	0	0	0	0	-1	65	96
"dominula"	50	48	8	69	94	0	0	0	0	-1	66	98
"dominula"	50	49	25	69	94	0	0	0	0	-1	67	99
"dominula"	50	50	24	69	94	0	0	0	0	-1	67	100
"dominula"	50	1	6	54	80	0	0	0	0	-1	53	83
"dominula"	50	2	57	54	80	0	0	0	0	-1	53	95
"dominula"	50	3	39	54	80	0	0	0	0	-1	54	99
"dominula"	50	4	22	54	80	0	0	0	0	-1	51	88
"dominula"	50	5	4	54	80	0	0	0	0	-1	56	81
"dominula"	50	6	138	54	80	0	0	0	0	-1	39	100
"dominula"	50	7	80	54	80	0	0	0	0	-1	53	98
"dominula"	50	8	8	54	80	0	0	0	0	-1	52	82
"dominula"	50	9	95	54	80	0	0	0	0	-1	45	99
"dominula"	50	10	39	54	80	0	0	0	0	-1	60	90
"dominula"	50	11	58	54	80	0	0	0	0	-1	55	100
"dominula"	50	12	87	54	80	0	0	0	0	-1	46	99
"dominula"	50	13	126	54	80	0	0	0	0	-1	55	97
"dominula"	50	14	201	54	80	0	0	0	0	-1	63	100
"dominula"	50	15	38	54	80	0	0	0	0	-1	46	92
"dominula"	50	16	28	54	80	0	0	0	0	-1	51	83
"dominula"	50	17	39	54	80	0	0	0	0	-1	69	93
"dominula"	50	18	15	54	80	0	0	0	0	-1	53	84
"dominula"	50	19	23	54	80	0	0	0	0	-1	51	87
"dominula"	50	20	32	54	80	0	0	0	0	-1	51	90
"dominula"	50	21	4	54	80	0	0	0	0	-1	54	81
"dominula"	50	22	13	54	80	0	0	0	0	-1	52	87
"dominula"	50	23	37	54	80	0	0	0	0	-1	55	87
"dominula"	50	24	6	54	80	0	0	0	0	-1	51	83
"dominula"	50	25	46	54	80	0	0	0	0	-1	42	100
"dominula"	50	26	30	54	80	0	0	0	0	-1	43	90
"dominula"	50	27	41	54	80	0	0	0	0	-1	54	96
"dominula"	50	28	35	54	80	0	0	0	0	-1	56	92
"dominula"	50	29	9	54	80	0	0	0	0	-1	56	85
"dominula"	50	30	11	54	80	0	0	0	0	-1	56	81
"dominula"	50	31	47	54	80	0	0	0	0	-1	56	94
"dominula"	50	32	20	54	80	0	0	0	0	-1	59	81
"dominula"	50	33	6	54	80	0	0	0	0	-1	55	80
"dominula"	50	34	110	54	80	0	0	0	0	-1	52	98
"dominula"	50	35	103	54	80	0	0	0	0	-1	61	99
"dominula"	50	36	18	54	80	0	0	0	0	-1	54	86
"dominula"	50	37	31	54	80	0	0	0	0	-1	52	91
"dominula"	50	38	27	54	80	0	0	0	0	-1	48	82
"dominula"	50	39	23	54	80	0	0	0	0	-1	52	84
"dominula"	50	40	4	54	80	0	0	0	0	-1	53	83
"dominula"	50	41	65	54	80	0	0	0	0	-1	57	96
"dominula"	50	42	31	54	80	0	0	0	0	-1	46	94
"dominula"	50	43	11	54	80	0	0	0	0	-1	56	84
"dominula"	50	44	16	54	80	0	0	0	0	-1	59	87
"dominula"	50	45	32	54	80	0	0	0	0	-1	50	91
"dominula"	50	46	14	54	80	0	0	0	0	-1	50	88
"dominula"	50	47	60	54	80	0	0	0	0	-1	60	100
"dominula"	50	48	1	54	80	0	0	0	0	-1	54	80
"dominula"	50	49	28	54	80	0	0	0	0	-1	55	85
"dominula"	50	50	125	54	80	0	0	0	0	-1	56	99
"dominula"	50	1	20	70	94	0	0	0	0	-1	73	98
"dominula"	50	2	162	70	94	0	0	0	0	-1	64	100
"dominula"	50	3	7	70	94	0	0	0	0	-1	69	96
"dominula"	50	4	65	70	94	0	0	0	0	-1	60	100
"dominula"	50	5	111	70	94	0	0	0	0	-1	61	100
"dominula"	50	6	2	70	94	0	0	0	0	-1	71	95
"dominula"	50	7	29	70	94	0	0	0	0	-1	71	99
"dominula"	50	8	143	70	94	0	0	0	0	-1	78	98
"dominula"	50	9	83	70	94	0	0	0	0	-1	75	100
"dominula"	50	10	87	70	94	0	0	0	0	-1	71	98
"dominula"	50	11	34	70	94	0	0	0	0	-1	73	99
"dominula"	50	12	6	70	94	0	0	0	0	-1	68	95
"dominula"	50	13	93	70	94	0	0	0	0	-1	71	100
"dominula"	50	14	105	70	94	0	0	0	0	-1	71	100
"dominula"	50	15	6	70	94	0	0	0	0	-1	71	95
"dominula"	50	16	18	70	94	0	0	0	0	-1	69	100
"dominula"	50	17	6	70	94	0	0	0	0	-1	67	98
"dominula"	50	18	47	70	94	0	0	0	0	-1	70	97
"dominula"	50	19	79	70	94	0	0	0	0	-1	56	100
"dominula"	50	20	49	70	94	0	0	0	0	-1	77	100
"dominula"	50	21	147	70	94	0	0	0	0	-1	78	100
"dominula"	50	22	107	70	94	0	0	0	0	-1	77	100
"dominula"	50	23	79	70	94	0	0	0	0	-1	53	100
"dominula"	50	24	1	70	94	0	0	0	0	-1	70	94
"dominula"	50	25	39	70	94	0	0	0	0	-1	65	99
"dominula"	50	26	22	70	94	0	0	0	0	-1	64	100
"dominula"	50	27	6	70	94	0	0	0	0	-1	69	92
"dominula"	50	28	69	70	94	0	0	0	0	-1	76	99
"dominula"	50	29	18	70	94	0	0	0	0	-1	72	98
