"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"coNested"	"X"	"currentX"	"currentY"
"dominula"	50	1	1	83	32	1	1	0	0	1	82	32
"dominula"	50	2	1	83	32	1	1	0	1	2	82	32
"dominula"	50	3	1	83	32	1	1	0	0	1	83	33
"dominula"	50	4	1	83	32	1	1	0	0	1	83	31
"dominula"	50	5	1	83	32	1	1	0	1	3	82	32
"dominula"	50	6	1	83	32	1	1	0	0	1	84	32
"dominula"	50	7	2	83	32	1	1	0	0	1	83	32
"dominula"	50	8	3	83	32	1	1	0	0	1	84	33
"dominula"	50	9	1	83	32	1	1	0	0	1	82	33
"dominula"	50	10	1	83	32	1	1	0	1	4	82	32
"dominula"	50	11	2	83	32	1	1	0	0	1	81	34
"dominula"	50	12	1	83	32	1	1	0	1	2	83	31
"dominula"	50	13	2	83	32	1	1	0	0	1	82	34
"dominula"	50	14	1	83	32	1	1	0	1	5	82	32
"dominula"	50	15	1	83	32	1	1	0	1	3	83	31
"dominula"	50	16	1	83	32	1	1	0	1	2	83	33
"dominula"	50	17	2	83	32	1	1	0	0	1	83	30
"dominula"	50	18	3	83	32	1	1	0	0	1	85	34
"dominula"	50	19	1	83	32	1	1	0	1	6	82	32
"dominula"	50	20	1	83	32	1	1	0	1	3	83	33
"dominula"	50	21	2	83	32	1	1	0	0	1	84	31
"dominula"	50	22	2	83	32	1	1	0	1	2	83	30
"dominula"	50	23	1	83	32	1	1	0	1	2	84	32
"dominula"	50	24	1	83	32	1	1	0	1	2	82	33
"dominula"	50	25	2	83	32	1	1	0	0	1	83	34
"dominula"	50	26	1	83	32	1	1	0	1	3	82	33
"dominula"	50	27	1	83	32	1	1	0	1	4	83	31
"dominula"	50	28	1	83	32	1	1	0	1	3	84	32
"dominula"	50	29	1	83	32	1	1	0	1	7	82	32
"dominula"	50	30	2	83	32	1	1	0	1	4	83	33
"dominula"	50	31	1	83	32	1	1	0	1	8	82	32
"dominula"	50	32	1	83	32	1	1	0	1	2	84	33
"dominula"	50	33	1	83	32	1	1	0	1	3	84	33
"dominula"	50	34	1	83	32	1	1	0	1	4	84	32
"dominula"	50	35	1	83	32	1	1	0	1	5	84	32
"dominula"	50	36	1	83	32	1	1	0	1	6	84	32
"dominula"	50	37	2	83	32	1	1	0	1	4	84	33
"dominula"	50	38	2	83	32	1	1	0	1	2	85	34
"dominula"	50	39	1	83	32	1	1	0	1	7	84	32
"dominula"	50	40	3	83	32	1	1	0	1	2	83	32
"dominula"	50	41	2	83	32	1	1	0	0	1	82	31
"dominula"	50	42	3	83	32	1	1	0	0	1	82	30
"dominula"	50	43	3	83	32	1	1	0	0	1	85	33
"dominula"	50	44	2	83	32	1	1	0	0	1	81	33
"dominula"	50	45	1	83	32	1	1	0	1	5	83	33
"dominula"	50	46	1	83	32	1	1	0	1	5	83	31
"dominula"	50	47	1	83	32	1	1	0	1	6	83	33
"dominula"	50	48	1	83	32	1	1	0	1	4	82	33
"dominula"	50	49	1	83	32	1	1	0	1	5	84	33
"dominula"	50	50	2	83	32	1	1	0	1	2	81	34
"dominula"	50	1	19	95	82	0	0	0	0	-1	92	88
"dominula"	50	2	15	95	82	1	1	0	0	1	97	92
"dominula"	50	3	19	95	82	1	1	0	0	1	97	95
"dominula"	50	4	40	95	82	1	1	0	0	1	99	90
"dominula"	50	5	18	95	82	1	1	0	0	1	97	90
"dominula"	50	6	8	95	82	0	0	0	0	-1	94	85
"dominula"	50	7	21	95	82	1	1	0	0	1	100	90
"dominula"	50	8	11	95	82	0	0	0	0	-1	93	84
"dominula"	50	9	31	95	82	0	0	0	0	-1	90	92
"dominula"	50	10	8	95	82	0	0	0	0	-1	94	83
"dominula"	50	11	43	95	82	0	0	0	0	-1	86	100
"dominula"	50	12	25	95	82	1	1	0	0	1	98	92
"dominula"	50	13	16	95	82	1	1	0	1	2	97	90
"dominula"	50	14	130	95	82	0	0	0	0	-1	83	99
"dominula"	50	15	40	95	82	1	1	0	1	3	97	90
"dominula"	50	16	22	95	82	1	1	0	0	1	97	93
"dominula"	50	17	36	95	82	0	0	0	0	-1	93	87
"dominula"	50	18	23	95	82	1	1	0	1	4	97	90
"dominula"	50	19	46	95	82	1	1	0	0	1	94	99
"dominula"	50	20	51	95	82	0	0	0	0	-1	94	94
"dominula"	50	21	34	95	82	1	1	0	1	5	97	90
"dominula"	50	22	2	95	82	0	0	0	0	-1	95	83
"dominula"	50	23	24	95	82	1	1	0	0	1	98	90
"dominula"	50	24	19	95	82	0	0	0	0	-1	90	90
"dominula"	50	25	27	95	82	1	1	0	0	1	95	96
"dominula"	50	26	33	95	82	0	0	0	0	-1	97	88
"dominula"	50	27	13	95	82	1	1	0	1	2	97	92
"dominula"	50	28	13	95	82	0	0	0	0	-1	90	91
"dominula"	50	29	20	95	82	1	1	0	1	2	100	90
"dominula"	50	30	33	95	82	0	0	0	0	-1	90	91
"dominula"	50	31	24	95	82	1	1	0	1	6	97	90
"dominula"	50	32	55	95	82	1	1	0	1	3	100	90
"dominula"	50	33	5	95	82	0	0	0	0	-1	95	84
"dominula"	50	34	18	95	82	0	0	0	0	-1	94	82
"dominula"	50	35	4	95	82	0	0	0	0	-1	96	82
"dominula"	50	36	66	95	82	0	0	0	0	-1	79	100
"dominula"	50	37	12	95	82	1	1	0	0	1	97	91
"dominula"	50	38	34	95	82	1	1	0	1	7	97	90
"dominula"	50	39	50	95	82	0	0	0	0	-1	87	94
"dominula"	50	40	14	95	82	0	0	0	0	-1	97	85
"dominula"	50	41	24	95	82	1	1	0	1	8	97	90
"dominula"	50	42	8	95	82	0	0	0	0	-1	91	81
"dominula"	50	43	18	95	82	0	0	0	0	-1	94	87
"dominula"	50	44	25	95	82	0	0	0	0	-1	88	86
"dominula"	50	45	47	95	82	0	0	0	0	-1	87	99
"dominula"	50	46	11	95	82	0	0	0	0	-1	100	87
"dominula"	50	47	76	95	82	0	0	0	0	-1	85	97
"dominula"	50	48	30	95	82	1	1	0	0	1	98	91
"dominula"	50	49	28	95	82	1	1	0	1	2	99	90
"dominula"	50	50	32	95	82	1	1	0	0	1	97	94
"dominula"	50	1	1	34	70	1	1	0	0	1	34	69
"dominula"	50	2	1	34	70	1	1	0	0	1	35	70
"dominula"	50	3	1	34	70	1	1	0	0	1	34	71
"dominula"	50	4	1	34	70	1	1	0	1	2	34	71
"dominula"	50	5	1	34	70	1	1	0	0	1	35	71
"dominula"	50	6	1	34	70	1	1	0	0	1	33	71
"dominula"	50	7	2	34	70	1	1	0	0	1	32	72
"dominula"	50	8	2	34	70	1	1	0	1	3	34	71
"dominula"	50	9	1	34	70	1	1	0	0	1	33	70
"dominula"	50	10	1	34	70	1	1	0	1	4	34	71
"dominula"	50	11	1	34	70	1	1	0	1	2	33	70
"dominula"	50	12	1	34	70	1	1	0	1	5	34	71
"dominula"	50	13	1	34	70	1	1	0	1	2	35	71
"dominula"	50	14	1	34	70	1	1	0	1	3	35	71
"dominula"	50	15	2	34	70	1	1	0	0	1	33	72
"dominula"	50	16	2	34	70	1	1	0	0	1	34	70
"dominula"	50	17	1	34	70	1	1	0	1	2	33	71
"dominula"	50	18	2	34	70	1	1	0	1	2	34	70
"dominula"	50	19	1	34	70	1	1	0	1	3	33	71
"dominula"	50	20	1	34	70	1	1	0	1	2	35	70
"dominula"	50	21	1	34	70	1	1	0	1	4	33	71
"dominula"	50	22	1	34	70	0	0	0	0	2	34	70
"dominula"	50	23	1	34	70	1	1	0	1	2	34	69
"dominula"	50	24	2	34	70	1	1	0	0	1	33	69
"dominula"	50	25	2	34	70	1	1	0	0	1	32	71
"dominula"	50	26	1	34	70	1	1	0	1	3	35	70
"dominula"	50	27	3	34	70	1	1	0	1	3	34	70
"dominula"	50	28	1	34	70	1	1	0	1	5	33	71
"dominula"	50	29	1	34	70	1	1	0	1	4	35	70
"dominula"	50	30	1	34	70	1	1	0	1	4	35	71
"dominula"	50	31	1	34	70	1	1	0	1	3	34	69
"dominula"	50	32	1	34	70	1	1	0	1	6	34	71
"dominula"	50	33	3	34	70	1	1	0	1	2	32	71
"dominula"	50	34	1	34	70	1	1	0	1	3	33	70
"dominula"	50	35	1	34	70	1	1	0	1	7	34	71
"dominula"	50	36	1	34	70	1	1	0	1	4	34	69
"dominula"	50	37	1	34	70	1	1	0	1	5	35	70
"dominula"	50	38	2	34	70	1	1	0	0	1	34	68
"dominula"	50	39	1	34	70	1	1	0	1	6	33	71
"dominula"	50	40	3	34	70	1	1	0	0	1	35	72
"dominula"	50	41	2	34	70	1	1	0	1	4	33	70
"dominula"	50	42	2	34	70	1	1	0	1	3	32	71
"dominula"	50	43	1	34	70	1	1	0	1	5	33	70
"dominula"	50	44	1	34	70	1	1	0	1	5	34	69
"dominula"	50	45	1	34	70	1	1	0	1	8	34	71
"dominula"	50	46	1	34	70	1	1	0	1	9	34	71
"dominula"	50	47	2	34	70	1	1	0	0	1	34	72
"dominula"	50	48	2	34	70	0	0	0	0	9	34	71
"dominula"	50	49	1	34	70	1	1	0	1	7	33	71
"dominula"	50	50	3	34	70	1	1	0	0	1	34	73
"dominula"	50	1	21	98	42	0	0	0	0	-1	99	44
