"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"coNested"	"X"	"currentX"	"currentY"
"dominula"	50	1	63	30	22	1	1	0	0	1	41	45
"dominula"	50	2	71	30	22	0	0	0	0	-1	26	44
"dominula"	50	3	45	30	22	1	1	0	0	1	41	33
"dominula"	50	4	59	30	22	0	0	0	0	-1	34	35
"dominula"	50	5	17	30	22	0	0	0	0	-1	30	28
"dominula"	50	6	5	30	22	0	0	0	0	-1	31	24
"dominula"	50	7	9	30	22	0	0	0	0	-1	28	25
"dominula"	50	8	158	30	22	0	0	0	0	-1	16	63
"dominula"	50	9	48	30	22	0	0	0	0	-1	23	42
"dominula"	50	10	114	30	22	1	1	0	0	1	37	62
"dominula"	50	11	11	30	22	0	0	0	0	-1	30	22
"dominula"	50	12	26	30	22	0	0	0	0	-1	30	21
"dominula"	50	13	38	30	22	0	0	0	0	-1	29	29
"dominula"	50	14	47	30	22	0	0	0	0	-1	23	37
"dominula"	50	15	37	30	22	0	0	0	0	-1	26	30
"dominula"	50	16	71	30	22	0	0	0	0	-1	25	36
"dominula"	50	17	54	30	22	0	0	0	0	-1	27	38
"dominula"	50	18	46	30	22	0	0	0	0	-1	19	36
"dominula"	50	19	59	30	22	0	0	0	0	-1	25	39
"dominula"	50	20	28	30	22	0	0	0	0	-1	38	33
"dominula"	50	21	10	30	22	0	0	0	0	-1	32	25
"dominula"	50	22	50	30	22	0	0	0	0	-1	33	46
"dominula"	50	23	26	30	22	0	0	0	0	-1	25	32
"dominula"	50	24	12	30	22	0	0	0	0	-1	31	26
"dominula"	50	25	33	30	22	0	0	0	0	-1	30	28
"dominula"	50	26	4	30	22	0	0	0	0	-1	29	22
"dominula"	50	27	52	30	22	0	0	0	0	-1	32	45
"dominula"	50	28	33	30	22	1	1	0	0	1	41	23
"dominula"	50	29	134	30	22	0	0	0	0	-1	34	59
"dominula"	50	30	108	30	22	1	1	0	0	1	26	62
"dominula"	50	31	10	30	22	0	0	0	0	-1	32	20
"dominula"	50	32	58	30	22	0	0	0	0	-1	33	32
"dominula"	50	33	44	30	22	0	0	0	0	-1	30	35
"dominula"	50	34	58	30	22	0	0	0	0	-1	25	47
"dominula"	50	35	67	30	22	0	0	0	0	-1	25	53
"dominula"	50	36	6	30	22	0	0	0	0	-1	31	25
"dominula"	50	37	169	30	22	1	1	0	0	1	31	62
"dominula"	50	38	40	30	22	1	1	0	0	1	41	32
"dominula"	50	39	93	30	22	1	1	0	0	1	41	53
"dominula"	50	40	33	30	22	0	0	0	0	-1	33	30
"dominula"	50	41	19	30	22	0	0	0	0	-1	31	31
"dominula"	50	42	38	30	22	0	0	0	0	-1	33	34
"dominula"	50	43	98	30	22	0	0	0	0	-1	22	59
"dominula"	50	44	4	30	22	0	0	0	0	-1	28	22
"dominula"	50	45	23	30	22	0	0	0	0	-1	27	23
"dominula"	50	46	31	30	22	0	0	0	0	-1	32	26
"dominula"	50	47	28	30	22	0	0	0	0	-1	33	31
"dominula"	50	48	44	30	22	0	0	0	0	-1	26	40
"dominula"	50	49	24	30	22	0	0	0	0	-1	29	32
"dominula"	50	50	28	30	22	0	0	0	0	-1	31	28
"dominula"	50	1	62	4	26	0	0	0	0	-1	8	36
"dominula"	50	2	3	4	26	0	0	0	0	-1	3	25
"dominula"	50	3	14	4	26	0	0	0	0	-1	5	33
"dominula"	50	4	28	4	26	0	0	0	0	-1	4	35
"dominula"	50	5	16	4	26	0	0	0	0	-1	2	26
"dominula"	50	6	29	4	26	0	0	0	0	-1	4	40
"dominula"	50	7	54	4	26	0	0	0	0	-1	3	45
"dominula"	50	8	5	4	26	0	0	0	0	-1	6	30
"dominula"	50	9	23	4	26	0	0	0	0	-1	3	31
"dominula"	50	10	6	4	26	0	0	0	0	-1	2	29
"dominula"	50	11	4	4	26	0	0	0	0	-1	4	29
"dominula"	50	12	27	4	26	0	0	0	0	-1	8	37
"dominula"	50	13	18	4	26	0	0	0	0	-1	5	31
"dominula"	50	14	18	4	26	0	0	0	0	-1	5	29
"dominula"	50	15	79	4	26	1	1	0	0	1	13	47
"dominula"	50	16	35	4	26	1	1	0	0	1	13	38
"dominula"	50	17	16	4	26	0	0	0	0	-1	7	32
"dominula"	50	18	26	4	26	0	0	0	0	-1	3	26
"dominula"	50	19	43	4	26	0	0	0	0	-1	10	43
"dominula"	50	20	1	4	26	0	0	0	0	-1	4	26
"dominula"	50	21	76	4	26	0	0	0	0	-1	6	59
"dominula"	50	22	36	4	26	0	0	0	0	-1	6	44
"dominula"	50	23	32	4	26	0	0	0	0	-1	4	42
"dominula"	50	24	30	4	26	0	0	0	0	-1	3	34
"dominula"	50	25	18	4	26	0	0	0	0	-1	4	22
"dominula"	50	26	37	4	26	0	0	0	0	-1	6	33
"dominula"	50	27	79	4	26	1	1	0	0	1	12	56
"dominula"	50	28	14	4	26	1	1	0	0	1	13	30
"dominula"	50	29	71	4	26	0	0	0	0	-1	2	57
"dominula"	50	30	5	4	26	0	0	0	0	-1	3	29
"dominula"	50	31	82	4	26	0	0	0	0	-1	7	52
"dominula"	50	32	74	4	26	1	1	0	0	1	13	43
"dominula"	50	33	33	4	26	0	0	0	0	-1	2	37
"dominula"	50	34	5	4	26	0	0	0	0	-1	4	29
"dominula"	50	35	2	4	26	0	0	0	0	-1	4	27
"dominula"	50	36	36	4	26	0	0	0	0	-1	3	37
"dominula"	50	37	30	4	26	0	0	0	0	-1	4	34
"dominula"	50	38	44	4	26	0	0	0	0	-1	2	37
"dominula"	50	39	4	4	26	0	0	0	0	-1	3	27
"dominula"	50	40	35	4	26	1	1	0	0	1	13	37
"dominula"	50	41	23	4	26	0	0	0	0	-1	4	35
"dominula"	50	42	42	4	26	0	0	0	0	-1	6	39
"dominula"	50	43	26	4	26	0	0	0	0	-1	2	31
"dominula"	50	44	6	4	26	0	0	0	0	-1	7	27
"dominula"	50	45	102	4	26	0	0	0	0	-1	6	70
"dominula"	50	46	55	4	26	0	0	0	0	-1	9	47
"dominula"	50	47	41	4	26	0	0	0	0	-1	5	36
"dominula"	50	48	17	4	26	0	0	0	0	-1	3	28
"dominula"	50	49	20	4	26	0	0	0	0	-1	6	35
"dominula"	50	50	46	4	26	1	1	0	0	1	13	42
"dominula"	50	1	1	47	51	0	0	0	0	-1	47	51
"dominula"	50	2	1	47	51	1	1	0	0	1	46	52
"dominula"	50	3	3	47	51	0	0	0	0	-1	46	50
"dominula"	50	4	4	47	51	1	1	0	0	1	45	52
"dominula"	50	5	1	47	51	1	1	0	0	1	48	52
"dominula"	50	6	2	47	51	0	0	0	0	-1	47	50
"dominula"	50	7	4	47	51	1	1	0	0	1	47	52
"dominula"	50	8	3	47	51	1	1	0	1	2	48	52
"dominula"	50	9	1	47	51	1	1	0	1	2	46	52
"dominula"	50	10	4	47	51	1	1	0	1	3	48	52
"dominula"	50	11	1	47	51	1	1	0	1	3	46	52
"dominula"	50	12	2	47	51	1	1	0	0	1	47	53
"dominula"	50	13	1	47	51	1	1	0	1	4	48	52
"dominula"	50	14	4	47	51	1	1	0	0	1	48	54
"dominula"	50	15	1	47	51	1	1	0	1	5	48	52
"dominula"	50	16	3	47	51	1	1	0	0	1	48	53
"dominula"	50	17	1	47	51	0	0	0	0	-1	47	51
"dominula"	50	18	8	47	51	0	0	0	0	-1	46	47
"dominula"	50	19	5	47	51	1	1	0	1	6	48	52
"dominula"	50	20	1	47	51	1	1	0	1	7	48	52
"dominula"	50	21	2	47	51	1	1	0	0	1	49	53
"dominula"	50	22	1	47	51	1	1	0	1	4	46	52
"dominula"	50	23	4	47	51	1	1	0	1	2	47	53
"dominula"	50	24	5	47	51	1	1	0	1	8	48	52
"dominula"	50	25	3	47	51	1	1	0	1	2	47	52
"dominula"	50	26	1	47	51	1	1	0	1	3	47	52
"dominula"	50	27	2	47	51	1	1	0	0	1	49	52
"dominula"	50	28	5	47	51	1	1	0	1	2	49	53
"dominula"	50	29	2	47	51	1	1	0	1	3	49	53
"dominula"	50	30	2	47	51	1	1	0	1	2	49	52
"dominula"	50	31	1	47	51	1	1	0	1	5	46	52
"dominula"	50	32	1	47	51	1	1	0	1	4	47	52
"dominula"	50	33	4	47	51	1	1	0	1	3	47	53
"dominula"	50	34	3	47	51	1	1	0	0	1	46	53
"dominula"	50	35	6	47	51	1	1	0	1	6	46	52
"dominula"	50	36	1	47	51	1	1	0	1	5	47	52
"dominula"	50	37	1	47	51	1	1	0	1	6	47	52
"dominula"	50	38	1	47	51	1	1	0	1	7	47	52
"dominula"	50	39	2	47	51	1	1	0	1	7	46	52
"dominula"	50	40	10	47	51	1	1	0	1	4	49	53
"dominula"	50	41	3	47	51	1	1	0	1	8	47	52
"dominula"	50	42	3	47	51	1	1	0	0	1	45	54
"dominula"	50	43	11	47	51	0	0	0	0	-1	47	51
"dominula"	50	44	7	47	51	1	1	0	0	1	49	54
"dominula"	50	45	2	47	51	1	1	0	1	3	49	52
"dominula"	50	46	2	47	51	1	1	0	1	8	46	52
"dominula"	50	47	3	47	51	1	1	1	0	1	46	53
"dominula"	50	48	2	47	51	1	1	0	1	9	46	52
"dominula"	50	49	3	47	51	1	1	0	0	1	46	54
"dominula"	50	50	3	47	51	0	0	0	0	-1	47	49
"dominula"	50	1	1	31	29	1	1	0	0	1	30	29
"dominula"	50	2	1	31	29	1	1	0	0	1	30	30
"dominula"	50	3	1	31	29	1	1	0	0	1	31	28
"dominula"	50	4	1	31	29	1	1	1	0	1	30	30
"dominula"	50	5	1	31	29	1	1	0	0	1	32	30
"dominula"	50	6	2	31	29	1	1	0	1	2	30	29
"dominula"	50	7	1	31	29	1	1	0	0	1	32	29
"dominula"	50	8	1	31	29	1	1	0	1	3	30	29
"dominula"	50	9	1	31	29	1	1	0	0	1	31	30
"dominula"	50	10	2	31	29	1	1	0	0	1	33	29
"dominula"	50	11	1	31	29	1	1	0	1	4	30	29
