"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"coNested"	"X"	"currentX"	"currentY"
"dominula"	50	1	13	17	15	1	1	0	0	1	14	19
"dominula"	50	2	7	17	15	1	1	0	0	1	18	19
"dominula"	50	3	4	17	15	1	1	0	0	1	17	19
"dominula"	50	4	13	17	15	0	0	0	0	-1	15	17
"dominula"	50	5	11	17	15	1	1	0	0	1	18	20
"dominula"	50	6	13	17	15	1	1	0	0	1	20	19
"dominula"	50	7	6	17	15	1	1	0	0	1	13	19
"dominula"	50	8	8	17	15	1	1	0	1	2	18	20
"dominula"	50	9	12	17	15	1	1	0	0	1	19	19
"dominula"	50	10	4	17	15	1	1	0	1	2	17	19
"dominula"	50	11	12	17	15	1	1	0	0	1	16	19
"dominula"	50	12	10	17	15	1	1	0	0	1	17	20
"dominula"	50	13	6	17	15	0	0	0	0	-1	17	15
"dominula"	50	14	12	17	15	1	1	0	1	2	14	19
"dominula"	50	15	9	17	15	0	0	0	0	-1	20	15
"dominula"	50	16	5	17	15	0	0	0	0	-1	14	18
"dominula"	50	17	5	17	15	1	1	0	1	2	19	19
"dominula"	50	18	7	17	15	1	1	0	0	1	15	19
"dominula"	50	19	11	17	15	1	1	0	1	3	18	20
"dominula"	50	20	9	17	15	1	1	0	1	3	19	19
"dominula"	50	21	11	17	15	1	1	0	1	4	19	19
"dominula"	50	22	11	17	15	1	1	0	1	4	18	20
"dominula"	50	23	30	17	15	1	1	0	0	1	21	19
"dominula"	50	24	8	17	15	1	1	0	0	1	20	20
"dominula"	50	25	25	17	15	1	1	0	0	1	10	19
"dominula"	50	26	25	17	15	1	1	0	1	2	20	19
"dominula"	50	27	16	17	15	1	1	0	1	3	20	19
"dominula"	50	28	12	17	15	1	1	0	1	3	17	19
"dominula"	50	29	19	17	15	0	0	0	0	-1	12	16
"dominula"	50	30	4	17	15	1	1	0	1	2	16	19
"dominula"	50	31	23	17	15	1	1	0	1	5	19	19
"dominula"	50	32	12	17	15	1	1	0	1	6	19	19
"dominula"	50	33	11	17	15	1	1	0	0	1	18	21
"dominula"	50	34	9	17	15	1	1	0	0	1	17	21
"dominula"	50	35	26	17	15	1	1	0	1	2	15	19
"dominula"	50	36	7	17	15	1	1	0	1	7	19	19
"dominula"	50	37	8	17	15	1	1	0	1	3	14	19
"dominula"	50	38	6	17	15	1	1	0	0	1	19	20
"dominula"	50	39	5	17	15	1	1	0	1	3	15	19
"dominula"	50	40	10	17	15	1	1	0	0	1	12	19
"dominula"	50	41	37	17	15	0	0	0	0	-1	17	16
"dominula"	50	42	10	17	15	1	1	0	1	8	19	19
"dominula"	50	43	5	17	15	1	1	0	1	9	19	19
"dominula"	50	44	9	17	15	1	1	0	1	2	18	19
"dominula"	50	45	7	17	15	1	1	0	0	1	22	19
"dominula"	50	46	6	17	15	1	1	0	1	3	16	19
"dominula"	50	47	8	17	15	1	1	0	1	4	16	19
"dominula"	50	48	1	17	15	0	0	0	0	-1	17	15
"dominula"	50	49	15	17	15	0	0	0	0	4	18	20
"dominula"	50	50	9	17	15	1	1	1	0	1	19	20
"dominula"	50	1	10	17	10	0	0	0	0	-1	12	12
"dominula"	50	2	16	17	10	1	1	0	0	1	15	16
"dominula"	50	3	45	17	10	1	1	0	0	1	25	29
"dominula"	50	4	3	17	10	0	0	0	0	-1	15	11
"dominula"	50	5	16	17	10	0	0	0	0	-1	22	15
"dominula"	50	6	14	17	10	1	1	0	0	1	12	16
"dominula"	50	7	8	17	10	0	0	0	0	-1	17	14
"dominula"	50	8	10	17	10	1	1	0	0	1	14	17
"dominula"	50	9	13	17	10	1	1	0	0	1	16	16
"dominula"	50	10	10	17	10	0	0	0	0	-1	19	9
"dominula"	50	11	36	17	10	1	1	0	0	1	16	21
"dominula"	50	12	6	17	10	0	0	0	0	-1	14	13
"dominula"	50	13	34	17	10	1	1	0	0	1	9	16
"dominula"	50	14	29	17	10	0	0	0	0	-1	17	12
"dominula"	50	15	13	17	10	1	1	1	0	1	16	16
"dominula"	50	16	18	17	10	0	0	0	0	-1	17	16
"dominula"	50	17	32	17	10	1	1	0	0	1	27	29
"dominula"	50	18	11	17	10	0	0	0	0	-1	20	10
"dominula"	50	19	8	17	10	1	1	0	1	2	15	16
"dominula"	50	20	15	17	10	1	1	0	0	1	14	16
"dominula"	50	21	20	17	10	1	1	0	0	1	16	19
"dominula"	50	22	4	17	10	0	0	0	0	-1	18	10
"dominula"	50	23	9	17	10	0	0	0	0	-1	20	10
"dominula"	50	24	33	17	10	1	1	0	0	1	16	27
"dominula"	50	25	14	17	10	1	1	0	0	1	15	17
"dominula"	50	26	22	17	10	1	1	0	1	2	16	16
"dominula"	50	27	3	17	10	0	0	0	0	-1	19	11
"dominula"	50	28	10	17	10	0	0	0	0	-1	19	15
"dominula"	50	29	17	17	10	1	1	0	1	3	16	16
"dominula"	50	30	6	17	10	0	0	0	0	-1	16	11
"dominula"	50	31	15	17	10	0	0	0	0	-1	23	18
"dominula"	50	32	17	17	10	1	1	0	0	1	16	17
"dominula"	50	33	29	17	10	1	1	0	0	1	13	16
"dominula"	50	34	9	17	10	1	1	0	1	4	16	16
"dominula"	50	35	27	17	10	1	1	0	0	1	6	16
"dominula"	50	36	26	17	10	0	0	0	0	-1	17	18
"dominula"	50	37	7	17	10	0	0	0	0	-1	19	12
"dominula"	50	38	15	17	10	1	1	0	0	1	16	20
"dominula"	50	39	24	17	10	0	0	0	0	-1	19	21
"dominula"	50	40	12	17	10	1	1	0	1	5	16	16
"dominula"	50	41	1	17	10	0	0	0	0	-1	17	10
"dominula"	50	42	35	17	10	0	0	0	0	-1	22	25
"dominula"	50	43	4	17	10	0	0	0	0	-1	15	13
