"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
50	1	8	0	8
50	2	8	0	8
50	3	9	0	9
50	4	8	0	8
50	5	8	0	8
50	6	8	1	8
50	7	7	2	7
50	8	8	0	8
50	9	8	1	8
50	10	8	1	8
50	11	8	0	8
50	12	7	2	7
50	13	9	1	9
50	14	9	3	9
50	15	7	1	7
50	16	6	1	6
50	17	7	2	7
50	18	8	2	8
50	19	8	0	8
50	20	6	1	6
50	21	7	1	7
50	22	8	3	8
50	23	7	2	7
50	24	8	1	8
50	25	8	1	8
50	26	8	1	8
50	27	8	2	8
50	28	7	0	7
50	29	8	1	8
50	30	8	2	8
50	31	8	2	8
50	32	8	1	8
50	33	8	2	8
50	34	8	1	8
50	35	8	2	8
50	36	8	2	8
50	37	7	3	7
50	38	8	2	8
50	39	8	4	8
50	40	7	3	7
50	41	7	2	7
50	42	6	1	6
50	43	8	1	8
50	44	7	1	7
50	45	8	1	8
50	46	9	5	9
50	47	6	3	6
50	48	7	1	7
50	49	8	2	8
50	50	8	4	8
60	1	7	0	7
60	2	8	0	8
60	3	8	0	8
60	4	8	1	8
60	5	9	0	9
60	6	8	0	8
60	7	7	0	7
60	8	8	1	8
60	9	8	0	8
60	10	7	1	7
60	11	8	0	8
60	12	8	0	8
60	13	9	0	9
60	14	7	0	7
60	15	8	1	8
60	16	9	4	9
60	17	8	1	8
60	18	8	2	8
60	19	8	1	8
60	20	9	5	9
60	21	8	2	8
60	22	7	0	7
60	23	7	2	7
60	24	8	0	8
60	25	7	1	7
60	26	8	1	8
60	27	7	2	7
60	28	7	3	7
60	29	7	4	7
60	30	7	1	7
60	31	7	4	7
60	32	7	2	7
60	33	7	3	7
60	34	7	0	7
60	35	9	2	9
60	36	8	6	8
60	37	7	1	7
60	38	7	2	7
60	39	7	4	7
60	40	7	0	7
60	41	8	0	8
60	42	8	2	8
60	43	8	4	8
60	44	7	2	7
60	45	6	1	6
60	46	6	0	6
60	47	8	3	8
60	48	8	2	8
60	49	8	1	8
60	50	8	4	8
60	51	7	2	7
60	52	6	1	6
60	53	8	3	8
