"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
50	1	478	1	54	0.8	0.8	0
50	2	1008	1	103.2	1	1	0
50	3	482	1	76.5	0.9	0.9	0
50	4	76	1	19.2	0.9	0.9	0
50	5	1052	1	113.8	0.8	0.8	0.1
50	6	347	1	66	0.7	0.7	0.1
50	7	575	1	64.6	1	1	0
50	8	19	1	7.7	0.8	0.8	0
50	9	584	2	73.9	0.9	0.9	0.1
50	10	901	1	132.9	0.8	0.8	0
50	11	780	1	137.3	0.8	0.8	0.3
50	12	552	2	94.8	0.8	0.8	0
50	13	155	3	25.5	0.8	0.8	0
50	14	1019	1	142.5	0.8	0.8	0
50	15	319	2	39	1	1	0
50	16	900	1	139.4	0.8	0.8	0.1
50	17	876	1	95.3	0.8	0.8	0.1
50	18	1190	3	129.4	0.8	0.8	0.1
50	19	917	6	151.9	0.8	0.8	0
50	20	138	2	30.3	0.8	0.8	0.1
50	21	557	2	69	0.9	0.9	0.3
50	22	137	2	25.8	0.8	0.8	0.2
50	23	1054	3	116.8	0.8	0.8	0.1
50	24	77	3	17.6	0.8	0.8	0
50	25	745	3	106.6	0.8	0.8	0
50	26	805	1	90.8	0.8	0.8	0.4
50	27	385	1	60.6	0.6	0.6	0.3
50	28	535	2	88.3	0.8	0.8	0.4
50	29	1194	2	161	0.6	0.6	0.2
50	30	434	1	68.4	0.8	0.8	0.2
50	31	541	2	76.9	0.9	0.9	0.2
50	32	902	2	215.8	0.8	0.8	0.1
50	33	188	1	27.2	0.9	0.9	0.6
50	34	226	4	42.1	0.8	0.8	0.2
50	35	1316	5	170.9	0.7	0.7	0.4
50	36	218	3	48.2	0.8	0.8	0.1
50	37	261	3	35	0.8	0.8	0.2
50	38	635	5	133.7	0.8	0.8	0
50	39	456	1	54	0.8	0.8	0.4
50	40	475	1	65.1	0.9	0.9	0.4
50	41	345	3	69.5	0.8	0.8	0.3
50	42	1017	3	168.2	0.6	0.6	0
50	43	801	3	141	0.7	0.7	0.2
50	44	167	1	29.2	0.7	0.7	0.3
50	45	493	1	59.5	0.9	0.9	0.4
50	46	128	6	27.4	0.8	0.8	0.3
50	47	585	3	74.6	0.8	0.8	0.2
50	48	328	3	54.3	0.7	0.7	0.2
50	49	306	4	50.5	0.8	0.8	0.3
50	50	126	7	36.9	0.9	0.9	0.1
60	1	820	1	308.7	0.3	0.3	0
60	2	788	1	228.1	0.2	0.2	0
60	3	1429	1	220.5	0.4	0.4	0
60	4	931	1	251.1	0.2	0.2	0
60	5	953	1	328.6	0.3	0.3	0
60	6	663	1	218.8	0.2	0.2	0
60	7	1116	2	365.6	0.2	0.2	0
60	8	721	3	234.9	0.2	0.2	0
60	9	325	1	130.9	0.4	0.4	0
60	10	2146	2	339.6	0.3	0.3	0
60	11	499	2	177.6	0.4	0.4	0
60	12	1434	3	571.4	0.2	0.2	0
60	13	1437	1	342.5	0.3	0.3	0
60	14	454	2	123.8	0.3	0.3	0
60	15	1366	3	342.8	0.3	0.3	0
60	16	346	2	163	0.3	0.3	0
60	17	2894	5	647.6	0.2	0.2	0
60	18	665	4	212	0.3	0.3	0
60	19	1012	2	368.5	0.3	0.3	0
60	20	795	2	294	0.2	0.2	0
60	21	1025	10	391.4	0.2	0.2	0
60	22	1821	5	514.5	0.4	0.4	0
60	23	1341	3	664.2	0.2	0.2	0
60	24	2389	7	540	0.3	0.3	0
60	25	1058	8	335.3	0.3	0.3	0
60	26	1036	3	354.1	0.3	0.3	0
60	27	730	4	217.5	0.4	0.4	0
60	28	1126	4	364.2	0.2	0.2	0
60	29	998	6	412.9	0.2	0.2	0
60	30	1430	4	217.2	0.3	0.3	0.1
60	31	468	12	149.2	0.3	0.3	0.1
60	32	701	2	171.3	0.3	0.3	0
60	33	1405	7	536.5	0.2	0.2	0
60	34	730	7	237.8	0.5	0.5	0.1
60	35	1700	2	398.3	0.3	0.3	0
60	36	1249	2	319.8	0.3	0.3	0
60	37	747	3	241.6	0.3	0.3	0
60	38	1667	4	456.7	0.4	0.4	0.2
60	39	1118	4	241.6	0.4	0.4	0.1
60	40	1041	3	215.7	0.3	0.3	0.1
