"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
50	1	756	1	163	0.6	0.6	0
50	2	1091	1	205.1	0.7	0.7	0
50	3	551	1	119.3	0.7	0.7	0
50	4	295	1	67.9	0.6	0.6	0
50	5	880	1	157.1	0.6	0.6	0
50	6	1009	2	183.7	0.9	0.9	0
50	7	915	1	146.7	0.8	0.8	0.2
50	8	303	2	78.3	0.6	0.6	0
50	9	1118	2	210.8	0.7	0.7	0.1
50	10	517	1	72.8	0.8	0.8	0.1
50	11	579	3	112.1	0.8	0.8	0
50	12	2198	1	274.1	0.6	0.6	0.1
50	13	384	2	79.7	0.6	0.6	0.2
50	14	2062	1	306.1	0.7	0.7	0.1
50	15	1469	3	212.6	0.9	0.9	0.2
50	16	341	2	69.1	0.7	0.7	0.2
50	17	1574	2	276.7	0.6	0.6	0.2
50	18	764	5	155.2	0.7	0.7	0.2
50	19	1669	1	361.9	0.8	0.8	0.1
50	20	830	4	315.5	0.5	0.5	0
50	21	2284	2	311.2	0.6	0.6	0
50	22	396	2	88.8	0.7	0.7	0.3
50	23	1404	3	195.5	0.7	0.7	0.1
50	24	1183	3	159.7	0.6	0.6	0.2
50	25	612	4	124.8	0.6	0.6	0.2
50	26	3130	2	454.8	0.6	0.6	0.3
50	27	1772	3	238.7	0.6	0.6	0.1
50	28	692	4	172.9	0.6	0.6	0.2
50	29	948	4	126.7	0.5	0.5	0.1
50	30	958	1	138.5	0.7	0.7	0.3
50	31	1259	2	157.8	0.5	0.5	0.1
50	32	1246	2	211.8	0.6	0.6	0.2
50	33	185	3	40.6	0.8	0.8	0.2
50	34	509	1	114.4	0.7	0.7	0.1
50	35	370	5	90.6	0.7	0.7	0.2
50	36	945	6	151.3	0.7	0.7	0.1
50	37	2167	4	356.3	0.5	0.5	0.1
50	38	1257	1	303.2	0.5	0.5	0
50	39	569	5	145.8	0.6	0.6	0.3
50	40	1260	3	324.4	0.7	0.7	0.3
50	41	649	4	137.7	0.6	0.6	0
50	42	254	4	78.6	0.7	0.7	0.3
50	43	528	2	106.2	0.7	0.7	0.3
50	44	387	7	86	0.7	0.7	0.2
50	45	257	4	48.4	0.5	0.5	0
50	46	764	2	257.9	0.6	0.6	0.3
50	47	678	5	176.1	0.5	0.5	0.1
50	48	508	3	118.3	0.7	0.7	0.5
50	49	383	1	128.9	0.5	0.5	0
50	50	1446	3	249.6	0.7	0.7	0.4
60	1	514	1	138.6	0.6	0.6	0
60	2	730	1	128.4	0.6	0.6	0
60	3	259	1	74.7	0.7	0.7	0
60	4	1573	1	377.5	0.7	0.7	0
60	5	1598	2	352.2	0.7	0.7	0
60	6	1449	1	314	0.8	0.8	0
60	7	385	1	81	0.7	0.7	0.1
60	8	1756	2	337.2	0.6	0.6	0
60	9	2449	1	402.7	0.7	0.7	0.2
60	10	2480	2	477.3	0.8	0.8	0.1
60	11	580	2	94.9	0.4	0.4	0
60	12	382	5	122.7	0.7	0.7	0.2
60	13	1308	2	268.4	0.5	0.5	0
60	14	934	1	158.5	0.8	0.8	0.1
60	15	1207	2	287.3	0.7	0.7	0.2
60	16	419	1	108.5	0.8	0.8	0.3
60	17	307	2	87	0.7	0.7	0.2
60	18	1535	2	197.3	0.7	0.7	0.2
60	19	671	3	137.7	0.6	0.6	0
60	20	314	3	69.3	0.6	0.6	0.1
60	21	531	3	110.3	0.8	0.8	0.2
60	22	306	4	53.5	0.7	0.7	0.2
60	23	1155	2	178.8	0.7	0.7	0.1
60	24	1013	9	254.3	0.7	0.7	0.2
60	25	2165	5	355.2	0.7	0.7	0.1
60	26	666	4	136.5	0.7	0.7	0.3
60	27	400	4	117	0.6	0.6	0.2
60	28	855	3	154.5	0.5	0.5	0.1
60	29	1375	2	368.3	0.6	0.6	0.2
60	30	544	4	155.5	0.6	0.6	0.2
60	31	604	2	89.1	0.7	0.7	0.3
60	32	997	3	314.6	0.5	0.5	0.1
60	33	574	1	114.5	0.5	0.5	0.2
60	34	183	2	54.2	0.7	0.7	0.2
60	35	2191	1	313.1	0.7	0.7	0.4
60	36	955	5	193	0.6	0.6	0.2
60	37	577	4	117.8	0.8	0.8	0.3
60	38	135	2	47.4	0.5	0.5	0
60	39	680	2	199.4	0.5	0.5	0.1
60	40	958	6	180.4	0.5	0.5	0.2
60	41	900	1	175	0.6	0.6	0.2
60	42	467	4	145.9	0.5	0.5	0.3
60	43	367	4	95.9	0.7	0.7	0.1
60	44	1134	4	254.9	0.6	0.6	0.2
60	45	762	9	194.6	0.7	0.7	0.1
60	46	313	1	55.6	0.7	0.7	0.2
60	47	1034	2	291.6	0.7	0.7	0.3
60	48	391	6	114.4	0.5	0.5	0
60	49	236	3	63	0.6	0.6	0.3
60	50	1080	4	177.3	0.7	0.7	0.2
60	51	875	1	147.7	0.6	0.6	0.2
60	52	863	5	225.2	0.6	0.6	0
60	53	1464	5	252.5	0.6	0.6	0.1
60	54	364	3	102.5	0.7	0.7	0.3
60	55	1032	2	192.6	0.7	0.7	0.2
60	56	2454	4	445.3	0.4	0.4	0
60	57	282	3	124.8	0.6	0.6	0.1
60	58	654	4	133.1	0.6	0.6	0.2
60	59	415	1	135.2	0.7	0.7	0.5
60	60	792	6	188.6	0.6	0.6	0.3
