"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
50	1	6	0	6
50	2	7	0	7
50	3	7	0	7
50	4	6	0	6
50	5	6	0	6
50	6	9	0	9
50	7	8	2	8
50	8	6	0	6
50	9	7	1	7
50	10	8	1	8
50	11	8	0	8
50	12	6	1	6
50	13	6	2	6
50	14	7	1	7
50	15	9	2	9
50	16	7	2	7
50	17	6	2	6
50	18	7	2	7
50	19	8	1	8
50	20	5	0	5
50	21	6	0	6
50	22	7	3	7
50	23	7	1	7
50	24	6	2	6
50	25	6	2	6
50	26	6	3	6
50	27	6	1	6
50	28	6	2	6
50	29	5	1	5
50	30	7	3	7
50	31	5	1	5
50	32	6	2	6
50	33	8	2	8
50	34	7	1	7
50	35	7	2	7
50	36	7	1	7
50	37	5	1	5
50	38	5	0	5
50	39	6	3	6
50	40	7	3	7
50	41	6	0	6
50	42	7	3	7
50	43	7	3	7
50	44	7	2	7
50	45	5	0	5
50	46	6	3	6
50	47	5	1	5
50	48	7	5	7
50	49	5	0	5
50	50	7	4	7
60	1	6	0	6
60	2	6	0	6
60	3	7	0	7
60	4	7	0	7
60	5	7	0	7
60	6	8	0	8
60	7	7	1	7
60	8	6	0	6
60	9	7	2	7
60	10	8	1	8
60	11	4	0	4
60	12	7	2	7
60	13	5	0	5
60	14	8	1	8
60	15	7	2	7
60	16	8	3	8
60	17	7	2	7
60	18	7	2	7
60	19	6	0	6
60	20	6	1	6
60	21	8	2	8
60	22	7	2	7
60	23	7	1	7
60	24	7	2	7
60	25	7	1	7
60	26	7	3	7
60	27	6	2	6
60	28	5	1	5
60	29	6	2	6
60	30	6	2	6
60	31	7	3	7
60	32	5	1	5
60	33	5	2	5
60	34	7	2	7
60	35	7	4	7
60	36	6	2	6
60	37	8	3	8
60	38	5	0	5
60	39	5	1	5
60	40	5	2	5
60	41	6	2	6
60	42	5	3	5
60	43	7	1	7
60	44	6	2	6
60	45	7	1	7
60	46	7	2	7
60	47	7	3	7
60	48	5	0	5
60	49	6	3	6
60	50	7	2	7
60	51	6	2	6
60	52	6	0	6
60	53	6	1	6
60	54	7	3	7
60	55	7	2	7
60	56	4	0	4
60	57	6	1	6
60	58	6	2	6
60	59	7	5	7
60	60	6	3	6
70	1	7	0	7
70	2	7	0	7
70	3	7	0	7
70	4	8	0	8
70	5	6	0	6
70	6	6	0	6
70	7	7	0	7
70	8	7	0	7
70	9	6	1	6
70	10	8	1	8
70	11	5	2	5
70	12	6	1	6
70	13	7	1	7
70	14	7	0	7
70	15	6	1	6
70	16	6	1	6
