"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
50	1	664	1	149.7	0.7	0.7	0
50	2	432	1	86.4	0.8	0.8	0
50	3	1946	1	224.4	0.8	0.8	0
50	4	744	1	143.4	0.8	0.8	0
50	5	901	1	175	0.7	0.7	0
50	6	1487	1	203.3	0.9	0.9	0.1
50	7	976	1	150	0.8	0.8	0
50	8	176	1	49.4	0.9	0.9	0.1
50	9	1444	1	257.7	0.8	0.8	0.1
50	10	212	1	61.7	0.7	0.7	0
50	11	399	2	64.1	0.7	0.7	0
50	12	672	2	157	0.9	0.9	0.1
50	13	791	2	155.9	0.9	0.9	0
50	14	1983	1	245.4	0.7	0.7	0.1
50	15	1317	3	171.7	0.9	0.9	0
50	16	210	2	59.8	0.8	0.8	0
50	17	373	2	76.2	0.8	0.8	0
50	18	604	3	103.4	0.9	0.9	0.1
50	19	687	1	175.4	0.7	0.7	0
50	20	490	1	116.1	0.7	0.7	0.1
50	21	1468	2	256.7	0.8	0.8	0.2
50	22	898	2	141.7	0.9	0.9	0
50	23	698	6	112.2	0.8	0.8	0.1
50	24	564	2	116.9	0.8	0.8	0
50	25	733	8	144.9	0.9	0.9	0
50	26	466	4	89.6	0.7	0.7	0
50	27	1110	4	194	0.8	0.8	0.3
50	28	697	3	152.8	0.8	0.8	0.1
50	29	636	1	104.8	0.8	0.8	0.1
50	30	422	1	70.2	0.8	0.8	0.3
50	31	726	4	105.6	0.9	0.9	0.1
50	32	282	2	74.7	0.8	0.8	0.1
50	33	428	3	112.2	0.8	0.8	0.2
50	34	2136	2	251	0.8	0.8	0.1
50	35	519	3	132.3	0.7	0.7	0
50	36	740	4	103.1	0.7	0.7	0.1
50	37	932	1	178.2	0.8	0.8	0.1
50	38	617	1	128	0.9	0.9	0.3
50	39	745	3	120.1	0.7	0.7	0.1
50	40	689	3	126.6	0.5	0.5	0.1
50	41	722	6	126.2	0.8	0.8	0.3
50	42	479	3	83.6	0.7	0.7	0.2
50	43	555	2	118.5	0.7	0.7	0.1
50	44	246	2	66.3	0.8	0.8	0.3
50	45	1303	1	189.5	0.7	0.7	0.5
50	46	508	5	114.8	0.8	0.8	0.2
50	47	613	4	119.7	0.8	0.8	0.2
50	48	452	4	98.9	0.7	0.7	0.1
50	49	279	5	71	0.8	0.8	0.2
50	50	1205	7	165.6	0.8	0.8	0.1
60	1	310	1	50.8	0.9	0.9	0
60	2	153	1	46.8	0.8	0.8	0
60	3	258	1	57.5	0.8	0.8	0.1
60	4	1337	1	170.5	1	1	0
60	5	397	1	73.3	0.8	0.8	0
60	6	391	1	70.7	0.8	0.8	0
60	7	129	1	43.7	0.8	0.8	0
60	8	142	1	31.8	0.8	0.8	0
60	9	423	2	60.3	0.8	0.8	0.1
60	10	214	1	51.7	0.8	0.8	0.2
60	11	1184	2	142.7	0.9	0.9	0
60	12	155	2	43.5	0.9	0.9	0.1
60	13	216	2	56.2	0.8	0.8	0.1
60	14	234	2	48.5	0.9	0.9	0.1
60	15	1010	2	130.1	0.8	0.8	0
60	16	691	2	93	0.8	0.8	0
60	17	247	2	62.1	1	1	0
60	18	185	1	42	0.9	0.9	0.1
60	19	1004	1	137.3	0.9	0.9	0.1
60	20	1371	2	170.6	0.8	0.8	0
60	21	273	2	56.3	0.9	0.9	0.2
60	22	170	1	40.4	1	1	0.1
60	23	1205	2	138.9	0.7	0.7	0.1
60	24	254	1	55.8	0.8	0.8	0.1
60	25	157	2	37	0.9	0.9	0.3
60	26	199	2	47.1	0.9	0.9	0
60	27	709	3	87.4	0.7	0.7	0.1
60	28	152	3	33.3	0.8	0.8	0
60	29	108	1	31.6	0.7	0.7	0.1
60	30	401	1	69.4	0.9	0.9	0.1
60	31	124	2	31.5	0.9	0.9	0.2
60	32	121	1	32.3	0.8	0.8	0.2
