"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"currentX"	"currentY"
"gallicus"	50	1	1	79	70	1	1	0	80	71
"gallicus"	50	2	2	79	70	1	1	0	80	72
"gallicus"	50	3	18	79	70	1	1	0	80	73
"gallicus"	50	4	17	79	70	1	1	0	80	70
"gallicus"	50	5	2	79	70	1	1	0	81	70
"gallicus"	50	6	4	79	70	1	1	0	81	73
"gallicus"	50	7	17	79	70	1	1	0	72	76
"gallicus"	50	8	2	79	70	1	1	0	81	72
"gallicus"	50	9	2	79	70	1	1	0	81	71
"gallicus"	50	10	10	79	70	1	1	0	80	69
"gallicus"	50	11	9	79	70	1	1	0	80	74
"gallicus"	50	12	19	79	70	1	1	0	80	75
"gallicus"	50	13	6	79	70	1	1	0	82	73
"gallicus"	50	14	16	79	70	1	1	0	81	75
"gallicus"	50	15	16	79	70	1	1	0	80	77
"gallicus"	50	16	14	79	70	1	1	0	81	76
"gallicus"	50	17	5	79	70	1	1	0	81	74
"gallicus"	50	18	7	79	70	1	1	1	80	72
"gallicus"	50	19	8	79	70	1	1	0	82	75
"gallicus"	50	20	9	79	70	1	1	0	80	76
"gallicus"	50	21	6	79	70	1	1	1	80	70
"gallicus"	50	22	7	79	70	1	1	1	80	74
"gallicus"	50	23	17	79	70	1	1	0	80	78
"gallicus"	50	24	3	79	70	1	1	0	82	71
"gallicus"	50	25	20	79	70	1	1	0	80	82
"gallicus"	50	26	17	79	70	1	1	1	80	78
"gallicus"	50	27	5	79	70	1	1	0	82	72
"gallicus"	50	28	18	79	70	1	1	0	81	77
"gallicus"	50	29	16	79	70	1	1	0	80	79
"gallicus"	50	30	12	79	70	1	1	0	82	74
"gallicus"	50	31	21	79	70	1	1	0	82	76
"gallicus"	50	32	4	79	70	1	1	0	80	68
"gallicus"	50	33	1	79	70	1	1	1	80	71
"gallicus"	50	34	51	79	70	1	1	0	72	77
"gallicus"	50	35	12	79	70	1	1	1	81	76
"gallicus"	50	36	218	79	70	1	1	0	94	99
"gallicus"	50	37	17	79	70	1	1	0	83	76
"gallicus"	50	38	510	79	70	0	0	0	62	100
"gallicus"	50	39	11	79	70	1	1	0	83	75
"gallicus"	50	40	37	79	70	1	1	0	81	78
"gallicus"	50	41	16	79	70	1	1	0	72	73
"gallicus"	50	42	21	79	70	1	1	0	80	80
"gallicus"	50	43	6	79	70	1	1	0	81	69
"gallicus"	50	44	21	79	70	1	1	0	81	79
"gallicus"	50	45	4	79	70	1	1	1	81	71
"gallicus"	50	46	27	79	70	1	1	0	81	68
"gallicus"	50	47	4	79	70	1	1	0	82	70
"gallicus"	50	48	48	79	70	1	1	0	80	84
"gallicus"	50	49	7	79	70	1	1	0	83	74
"gallicus"	50	50	51	79	70	1	1	0	72	79
"gallicus"	50	1	15	43	50	1	1	0	42	54
"gallicus"	50	2	2	43	50	1	1	0	43	48
"gallicus"	50	3	17	43	50	1	1	0	41	54
"gallicus"	50	4	16	43	50	1	1	0	51	54
"gallicus"	50	5	14	43	50	1	1	0	44	54
"gallicus"	50	6	11	43	50	1	1	0	43	54
"gallicus"	50	7	6	43	50	1	1	0	44	48
"gallicus"	50	8	12	43	50	1	1	0	40	54
"gallicus"	50	9	13	43	50	1	1	0	46	54
"gallicus"	50	10	8	43	50	1	1	0	39	54
"gallicus"	50	11	2	43	50	1	1	1	43	48
"gallicus"	50	12	6	43	50	1	1	0	48	54
"gallicus"	50	13	15	43	50	1	1	0	39	55
"gallicus"	50	14	6	43	50	1	1	0	43	55
"gallicus"	50	15	20	43	50	1	1	0	45	54
"gallicus"	50	16	17	43	50	1	1	0	39	56
"gallicus"	50	17	14	43	50	1	1	0	44	55
"gallicus"	50	18	19	43	50	1	1	0	44	56
"gallicus"	50	19	7	43	50	1	1	0	42	55
"gallicus"	50	20	12	43	50	1	1	0	41	55
"gallicus"	50	21	11	43	50	1	1	0	41	56
"gallicus"	50	22	16	43	50	1	1	0	42	56
"gallicus"	50	23	14	43	50	1	1	0	47	54
"gallicus"	50	24	23	43	50	1	1	0	43	56
"gallicus"	50	25	22	43	50	1	1	0	45	55
"gallicus"	50	26	30	43	50	1	1	0	40	56
"gallicus"	50	27	16	43	50	1	1	1	45	54
"gallicus"	50	28	18	43	50	1	1	0	41	57
"gallicus"	50	29	53	43	50	0	0	0	36	63
"gallicus"	50	30	14	43	50	1	1	0	47	55
"gallicus"	50	31	7	43	50	1	1	0	40	55
"gallicus"	50	32	18	43	50	1	1	0	45	56
"gallicus"	50	33	7	43	50	1	1	1	46	54
"gallicus"	50	34	13	43	50	1	1	0	43	57
"gallicus"	50	35	22	43	50	1	1	0	39	57
"gallicus"	50	36	18	43	50	1	1	0	46	55
"gallicus"	50	37	12	43	50	1	1	0	47	56
"gallicus"	50	38	19	43	50	1	1	0	44	58
"gallicus"	50	39	7	43	50	1	1	0	45	57
