"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"currentX"	"currentY"
"gallicus"	50	1	1	46	93	1	1	0	45	93
"gallicus"	50	2	1	46	93	1	1	0	46	94
"gallicus"	50	3	4	46	93	1	1	0	46	93
"gallicus"	50	4	1	46	93	1	1	0	46	92
"gallicus"	50	5	2	46	93	1	1	0	45	92
"gallicus"	50	6	2	46	93	1	1	0	44	94
"gallicus"	50	7	1	46	93	1	1	1	45	93
"gallicus"	50	8	5	46	93	1	1	0	46	95
"gallicus"	50	9	16	46	93	1	1	0	46	99
"gallicus"	50	10	3	46	93	1	1	0	45	94
"gallicus"	50	11	3	46	93	1	1	0	45	95
"gallicus"	50	12	2	46	93	1	1	0	46	91
"gallicus"	50	13	6	46	93	1	1	0	44	96
"gallicus"	50	14	7	46	93	1	1	0	44	95
"gallicus"	50	15	11	46	93	1	1	1	44	96
"gallicus"	50	16	14	46	93	1	1	0	44	93
"gallicus"	50	17	5	46	93	1	1	0	46	98
"gallicus"	50	18	6	46	93	1	1	0	43	93
"gallicus"	50	19	23	46	93	1	1	0	46	100
"gallicus"	50	20	830	46	93	0	0	0	78	99
"gallicus"	50	21	12	46	93	1	1	0	46	96
"gallicus"	50	22	3	46	93	1	1	1	46	95
"gallicus"	50	23	10	46	93	1	1	0	43	94
"gallicus"	50	24	3	46	93	1	1	1	46	93
"gallicus"	50	25	43	46	93	0	0	0	50	97
"gallicus"	50	26	6	46	93	1	1	1	46	96
"gallicus"	50	27	3	46	93	1	1	0	45	96
"gallicus"	50	28	179	46	93	0	0	0	51	100
"gallicus"	50	29	73	46	93	0	0	0	56	98
"gallicus"	50	30	5	46	93	1	1	0	44	97
"gallicus"	50	31	13	46	93	1	1	0	45	97
"gallicus"	50	32	29	46	93	1	1	1	44	97
"gallicus"	50	33	4	46	93	1	1	0	44	92
"gallicus"	50	34	21	46	93	1	1	0	45	99
"gallicus"	50	35	132	46	93	1	1	0	45	100
"gallicus"	50	36	10	46	93	1	1	0	44	100
"gallicus"	50	37	688	46	93	0	0	0	67	98
"gallicus"	50	38	8	46	93	1	1	0	43	95
"gallicus"	50	39	6	46	93	1	1	1	45	96
"gallicus"	50	40	49	46	93	1	1	0	43	100
"gallicus"	50	41	144	46	93	1	1	0	42	100
"gallicus"	50	42	15	46	93	1	1	1	46	93
"gallicus"	50	43	176	46	93	1	1	0	45	98
"gallicus"	50	44	11	46	93	1	1	1	46	96
"gallicus"	50	45	9	46	93	1	1	0	43	97
"gallicus"	50	46	2	46	93	1	1	1	46	95
"gallicus"	50	47	21	46	93	1	1	1	46	100
"gallicus"	50	48	6	46	93	1	1	0	43	92
"gallicus"	50	49	24	46	93	1	1	0	46	97
"gallicus"	50	50	3	46	93	1	1	1	46	95
"gallicus"	50	1	45	78	77	0	0	0	76	84
"gallicus"	50	2	1091	78	77	0	0	0	89	100
"gallicus"	50	3	551	78	77	0	0	0	67	100
"gallicus"	50	4	295	78	77	0	0	0	56	100
"gallicus"	50	5	157	78	77	0	0	0	90	100
"gallicus"	50	6	34	78	77	1	1	0	69	81
"gallicus"	50	7	277	78	77	0	0	0	97	98
"gallicus"	50	8	303	78	77	0	0	0	83	100
"gallicus"	50	9	1118	78	77	0	0	0	93	100
"gallicus"	50	10	50	78	77	1	1	0	68	89
"gallicus"	50	11	29	78	77	1	1	0	69	87
