"Species"	"number_wasps"	"w"	"s"	"startX"	"startY"	"alive"	"nested"	"usurp"	"currentX"	"currentY"
"gallicus"	50	1	1	7	27	1	1	0	8	27
"gallicus"	50	2	1	7	27	1	1	0	8	28
"gallicus"	50	3	1	7	27	1	1	0	7	26
"gallicus"	50	4	2	7	27	1	1	0	7	27
"gallicus"	50	5	2	7	27	1	1	0	9	27
"gallicus"	50	6	1	7	27	1	1	0	6	28
"gallicus"	50	7	1	7	27	1	1	0	7	28
"gallicus"	50	8	2	7	27	1	1	0	7	29
"gallicus"	50	9	1	7	27	1	1	0	6	27
"gallicus"	50	10	2	7	27	1	1	0	5	28
"gallicus"	50	11	2	7	27	1	1	0	5	29
"gallicus"	50	12	2	7	27	1	1	0	8	26
"gallicus"	50	13	6	7	27	1	1	0	9	26
"gallicus"	50	14	4	7	27	1	1	0	9	28
"gallicus"	50	15	6	7	27	1	1	0	8	29
"gallicus"	50	16	6	7	27	1	1	0	8	30
"gallicus"	50	17	3	7	27	1	1	0	5	27
"gallicus"	50	18	3	7	27	1	1	1	7	27
"gallicus"	50	19	10	7	27	1	1	0	10	26
"gallicus"	50	20	5	7	27	1	1	0	4	29
"gallicus"	50	21	7	7	27	1	1	0	4	28
"gallicus"	50	22	2	7	27	1	1	0	6	29
"gallicus"	50	23	6	7	27	1	1	0	7	30
"gallicus"	50	24	2	7	27	1	1	0	6	26
"gallicus"	50	25	15	7	27	1	1	0	3	26
"gallicus"	50	26	4	7	27	1	1	0	4	30
"gallicus"	50	27	5	7	27	1	1	1	8	26
"gallicus"	50	28	5	7	27	1	1	0	6	30
"gallicus"	50	29	5	7	27	1	1	0	3	28
"gallicus"	50	30	2	7	27	1	1	0	9	29
"gallicus"	50	31	10	7	27	1	1	0	9	30
"gallicus"	50	32	8	7	27	1	1	0	5	31
"gallicus"	50	33	3	7	27	1	1	0	5	30
"gallicus"	50	34	11	7	27	1	1	0	4	32
"gallicus"	50	35	10	7	27	1	1	0	9	31
"gallicus"	50	36	4	7	27	1	1	0	10	28
"gallicus"	50	37	12	7	27	1	1	0	8	31
"gallicus"	50	38	2	7	27	1	1	1	6	27
"gallicus"	50	39	4	7	27	1	1	0	10	27
"gallicus"	50	40	5	7	27	1	1	0	9	32
"gallicus"	50	41	10	7	27	1	1	0	6	32
"gallicus"	50	42	3	7	27	1	1	0	10	29
"gallicus"	50	43	2	7	27	1	1	1	7	28
"gallicus"	50	44	5	7	27	1	1	1	7	26
"gallicus"	50	45	7	7	27	1	1	1	7	30
"gallicus"	50	46	5	7	27	1	1	1	8	30
"gallicus"	50	47	4	7	27	1	1	1	7	27
"gallicus"	50	48	19	7	27	1	1	0	3	29
"gallicus"	50	49	5	7	27	1	1	1	6	28
"gallicus"	50	50	7	7	27	1	1	1	8	29
"gallicus"	50	1	1	35	13	1	1	0	35	12
"gallicus"	50	2	1	35	13	1	1	0	34	14
"gallicus"	50	3	1	35	13	1	1	0	36	14
"gallicus"	50	4	1	35	13	1	1	0	36	13
"gallicus"	50	5	1	35	13	1	1	0	34	13
"gallicus"	50	6	3	35	13	1	1	0	35	14
"gallicus"	50	7	2	35	13	1	1	0	37	15
"gallicus"	50	8	2	35	13	1	1	0	35	11
"gallicus"	50	9	2	35	13	1	1	0	35	15
"gallicus"	50	10	2	35	13	1	1	0	34	15
"gallicus"	50	11	2	35	13	1	1	0	37	13
"gallicus"	50	12	2	35	13	1	1	0	34	12
"gallicus"	50	13	3	35	13	1	1	0	36	15
"gallicus"	50	14	1	35	13	1	1	1	36	14
"gallicus"	50	15	3	35	13	1	1	0	33	12
"gallicus"	50	16	2	35	13	1	1	0	35	13
"gallicus"	50	17	2	35	13	1	1	0	37	14
"gallicus"	50	18	5	35	13	1	1	0	38	16
"gallicus"	50	19	5	35	13	1	1	0	33	15
"gallicus"	50	20	3	35	13	1	1	0	33	14
"gallicus"	50	21	4	35	13	1	1	0	33	13
"gallicus"	50	22	3	35	13	1	1	0	34	16
"gallicus"	50	23	8	35	13	1	1	0	38	14
"gallicus"	50	24	5	35	13	1	1	0	38	13
"gallicus"	50	25	8	35	13	1	1	0	32	12
"gallicus"	50	26	10	35	13	1	1	0	35	16
"gallicus"	50	27	4	35	13	1	1	0	37	16
"gallicus"	50	28	4	35	13	1	1	0	32	15
"gallicus"	50	29	5	35	13	1	1	0	34	17
"gallicus"	50	30	1	35	13	1	1	1	34	13
"gallicus"	50	31	6	35	13	1	1	1	35	16
"gallicus"	50	32	4	35	13	1	1	0	36	16
"gallicus"	50	33	7	35	13	1	1	1	37	14
"gallicus"	50	34	5	35	13	1	1	1	35	15
"gallicus"	50	35	8	35	13	1	1	0	35	17
"gallicus"	50	36	9	35	13	1	1	0	33	17
"gallicus"	50	37	1	35	13	1	1	1	36	13
"gallicus"	50	38	1	35	13	1	1	1	35	12
"gallicus"	50	39	3	35	13	1	1	0	38	15
"gallicus"	50	40	7	35	13	1	1	0	34	18
"gallicus"	50	41	7	35	13	1	1	0	33	18
"gallicus"	50	42	3	35	13	1	1	1	34	14
"gallicus"	50	43	3	35	13	1	1	0	32	14
"gallicus"	50	44	6	35	13	1	1	0	33	16
"gallicus"	50	45	4	35	13	1	1	0	32	17
"gallicus"	50	46	6	35	13	1	1	0	34	11
"gallicus"	50	47	10	35	13	1	1	1	34	17
"gallicus"	50	48	6	35	13	1	1	0	31	14
"gallicus"	50	49	17	35	13	1	1	0	32	16
"gallicus"	50	50	8	35	13	1	1	0	36	17
"gallicus"	50	1	664	58	61	0	0	0	53	100
"gallicus"	50	2	82	58	61	0	0	0	55	95
"gallicus"	50	3	1946	58	61	0	0	0	85	98
"gallicus"	50	4	744	58	61	0	0	0	61	100
"gallicus"	50	5	901	58	61	0	0	0	44	98
"gallicus"	50	6	1487	58	61	1	1	0	15	95
"gallicus"	50	7	976	58	61	0	0	0	80	100
"gallicus"	50	8	62	58	61	1	1	0	40	78
"gallicus"	50	9	1444	58	61	1	1	0	38	95
"gallicus"	50	10	144	58	61	0	0	0	58	99
"gallicus"	50	11	399	58	61	0	0	0	65	100
"gallicus"	50	12	655	58	61	1	1	0	36	95
"gallicus"	50	13	364	58	61	0	0	0	42	100
"gallicus"	50	14	205	58	61	0	0	0	59	98
"gallicus"	50	15	93	58	61	0	0	0	50	97
"gallicus"	50	16	210	58	61	1	1	0	25	95
"gallicus"	50	17	38	58	61	0	0	0	59	81
"gallicus"	50	18	115	58	61	1	1	0	40	82
"gallicus"	50	19	234	58	61	1	1	0	35	95
"gallicus"	50	20	486	58	61	0	0	0	65	98
"gallicus"	50	21	1468	58	61	0	0	0	75	99
"gallicus"	50	22	293	58	61	1	1	0	40	95
"gallicus"	50	23	86	58	61	0	0	0	74	85
"gallicus"	50	24	564	58	61	0	0	0	58	100
"gallicus"	50	25	448	58	61	1	1	0	18	95
"gallicus"	50	26	466	58	61	0	0	0	65	98
"gallicus"	50	27	1110	58	61	0	0	0	40	98
"gallicus"	50	28	697	58	61	0	0	0	100	99
"gallicus"	50	29	636	58	61	0	0	0	75	99
"gallicus"	50	30	422	58	61	0	0	0	80	99
"gallicus"	50	31	726	58	61	1	1	0	33	95
"gallicus"	50	32	282	58	61	0	0	0	52	97
"gallicus"	50	33	335	58	61	0	0	0	40	100
"gallicus"	50	34	51	58	61	0	0	0	57	79
"gallicus"	50	35	362	58	61	0	0	0	67	99
"gallicus"	50	36	740	58	61	0	0	0	47	99
"gallicus"	50	37	932	58	61	0	0	0	95	99
"gallicus"	50	38	617	58	61	0	0	0	67	99
"gallicus"	50	39	110	58	61	0	0	0	48	99
"gallicus"	50	40	391	58	61	0	0	0	57	100
"gallicus"	50	41	196	58	61	0	0	0	58	97
"gallicus"	50	42	65	58	61	0	0	0	45	79
"gallicus"	50	43	555	58	61	0	0	0	69	100
"gallicus"	50	44	27	58	61	0	0	0	48	67
"gallicus"	50	45	275	58	61	0	0	0	47	97
"gallicus"	50	46	508	58	61	0	0	0	47	100
"gallicus"	50	47	213	58	61	0	0	0	75	100
"gallicus"	50	48	452	58	61	0	0	0	57	99
"gallicus"	50	49	279	58	61	0	0	0	40	98
"gallicus"	50	50	1205	58	61	0	0	0	80	100
"gallicus"	50	1	143	37	3	0	0	0	51	50
"gallicus"	50	2	207	37	3	1	1	0	30	62
"gallicus"	50	3	158	37	3	1	1	0	35	61
"gallicus"	50	4	253	37	3	1	1	0	48	61
"gallicus"	50	5	188	37	3	1	1	0	32	62
"gallicus"	50	6	130	37	3	1	1	0	30	63
"gallicus"	50	7	126	37	3	1	1	0	41	61
"gallicus"	50	8	176	37	3	1	1	0	33	62
"gallicus"	50	9	149	37	3	1	1	0	36	61
"gallicus"	50	10	176	37	3	1	1	0	31	62
"gallicus"	50	11	49	37	3	0	0	0	28	17
"gallicus"	50	12	116	37	3	1	1	0	43	61
"gallicus"	50	13	194	37	3	1	1	0	15	68
"gallicus"	50	14	138	37	3	1	1	0	31	63
"gallicus"	50	15	125	37	3	1	1	0	32	63
"gallicus"	50	16	72	37	3	0	0	0	32	22
"gallicus"	50	17	158	37	3	1	1	0	40	61
"gallicus"	50	18	178	37	3	1	1	0	46	61
"gallicus"	50	19	106	37	3	0	0	0	30	30
"gallicus"	50	20	22	37	3	0	0	0	35	15
"gallicus"	50	21	137	37	3	1	1	0	50	61
"gallicus"	50	22	81	37	3	0	0	0	21	26
"gallicus"	50	23	131	37	3	1	1	0	42	61
"gallicus"	50	24	176	37	3	1	1	0	49	62
"gallicus"	50	25	133	37	3	1	1	0	37	61
"gallicus"	50	26	36	37	3	0	0	0	33	14
"gallicus"	50	27	149	37	3	1	1	0	41	62
"gallicus"	50	28	137	37	3	1	1	0	38	61
"gallicus"	50	29	169	37	3	1	1	0	44	61
"gallicus"	50	30	166	37	3	1	1	0	37	62
"gallicus"	50	31	169	37	3	1	1	0	30	64
"gallicus"	50	32	204	37	3	1	1	0	27	62
"gallicus"	50	33	136	37	3	1	1	0	25	62
"gallicus"	50	34	173	37	3	1	1	0	28	62
"gallicus"	50	35	292	37	3	0	0	0	22	100
"gallicus"	50	36	4	37	3	0	0	0	36	3
"gallicus"	50	37	135	37	3	1	1	0	51	61
"gallicus"	50	38	217	37	3	1	1	0	27	63
"gallicus"	50	39	167	37	3	1	1	0	44	62
"gallicus"	50	40	69	37	3	0	0	0	28	32
"gallicus"	50	41	174	37	3	1	1	0	29	64
"gallicus"	50	42	177	37	3	1	1	0	58	61
"gallicus"	50	43	2	37	3	0	0	0	38	4
"gallicus"	50	44	172	37	3	1	1	0	45	61
"gallicus"	50	45	185	37	3	0	0	0	59	49
"gallicus"	50	46	210	37	3	1	1	0	33	63
"gallicus"	50	47	180	37	3	1	1	0	43	62
"gallicus"	50	48	187	37	3	1	1	0	15	72
"gallicus"	50	49	156	37	3	1	1	0	34	63
"gallicus"	50	50	198	37	3	1	1	0	26	62
"gallicus"	50	1	575	19	83	0	0	0	3	98
"gallicus"	50	2	432	19	83	0	0	0	45	99
"gallicus"	50	3	63	19	83	0	0	0	16	100
"gallicus"	50	4	271	19	83	0	0	0	38	100
"gallicus"	50	5	378	19	83	0	0	0	22	100
"gallicus"	50	6	261	19	83	0	0	0	13	99
"gallicus"	50	7	252	19	83	0	0	0	41	96
"gallicus"	50	8	109	19	83	0	0	0	23	99
"gallicus"	50	9	866	19	83	0	0	0	22	100
"gallicus"	50	10	212	19	83	0	0	0	18	100
"gallicus"	50	11	82	19	83	0	0	0	23	96
"gallicus"	50	12	672	19	83	0	0	0	23	97
"gallicus"	50	13	791	19	83	1	1	0	56	99
"gallicus"	50	14	1983	19	83	0	0	0	15	96
"gallicus"	50	15	1317	19	83	1	1	0	56	100
"gallicus"	50	16	196	19	83	0	0	0	11	99
"gallicus"	50	17	373	19	83	0	0	0	17	100
"gallicus"	50	18	604	19	83	0	0	0	50	100
"gallicus"	50	19	687	19	83	0	0	0	34	98
"gallicus"	50	20	490	19	83	0	0	0	11	100
"gallicus"	50	21	822	19	83	0	0	0	3	99
