"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"Treatment"
50	1	2516	1	291	0.8	0.8	0	"FSF"
50	2	128	1	23.2	0.8	0.8	0	"FSF"
50	3	339	1	41.2	0.9	0.9	0	"FSF"
50	4	1423	1	279	0.8	0.8	0	"FSF"
50	5	485	1	96.6	0.8	0.8	0	"FSF"
50	6	919	1	140.3	0.8	0.8	0.1	"FSF"
50	7	370	1	93.9	0.7	0.7	0.2	"FSF"
50	8	563	1	66.3	0.8	0.8	0	"FSF"
50	9	526	1	78.8	0.8	0.8	0.1	"FSF"
50	10	261	1	51.3	0.8	0.8	0.1	"FSF"
50	11	170	2	25.9	0.8	0.8	0	"FSF"
50	12	1628	1	230.3	0.7	0.7	0.2	"FSF"
50	13	731	1	82.8	0.9	0.9	0.1	"FSF"
50	14	398	1	50.4	0.9	0.9	0.3	"FSF"
50	15	544	1	70.3	0.7	0.7	0.1	"FSF"
50	16	3148	2	353.5	0.6	0.6	0.1	"FSF"
50	17	615	1	113.5	0.7	0.7	0.2	"FSF"
50	18	1290	2	146.3	0.8	0.8	0.2	"FSF"
50	19	944	2	158.7	0.8	0.8	0	"FSF"
50	20	935	2	130.4	0.6	0.6	0.1	"FSF"
50	21	714	2	95.7	0.7	0.7	0.1	"FSF"
50	22	727	3	149.1	0.8	0.8	0.3	"FSF"
50	23	424	3	102.6	0.7	0.7	0.2	"FSF"
50	24	1263	1	165.1	0.8	0.8	0.1	"FSF"
50	25	1210	1	172.7	0.8	0.8	0.1	"FSF"
50	26	750	1	121.2	0.8	0.8	0.1	"FSF"
50	27	770	1	124	0.8	0.8	0.2	"FSF"
50	28	1491	3	363.3	0.7	0.7	0	"FSF"
50	29	444	2	97	0.8	0.8	0.1	"FSF"
50	30	511	2	67.9	0.8	0.8	0.2	"FSF"
50	31	210	1	45.9	0.8	0.8	0.2	"FSF"
50	32	1125	3	182.8	0.8	0.8	0.1	"FSF"
50	33	781	2	156.1	0.8	0.8	0.2	"FSF"
50	34	1287	3	156	0.8	0.8	0.1	"FSF"
50	35	874	1	136.2	0.8	0.8	0.2	"FSF"
50	36	354	2	45.9	0.8	0.8	0.2	"FSF"
50	37	1092	2	148	0.7	0.7	0.3	"FSF"
50	38	513	2	85.2	0.8	0.8	0.2	"FSF"
50	39	827	2	123	0.8	0.8	0.4	"FSF"
50	40	1335	3	294.1	0.7	0.7	0.3	"FSF"
50	41	1739	1	390	0.7	0.7	0.2	"FSF"
50	42	370	3	83	0.6	0.6	0.1	"FSF"
50	43	612	2	105.1	0.8	0.8	0.1	"FSF"
50	44	721	3	155.6	0.7	0.7	0.1	"FSF"
50	45	459	3	79	0.8	0.8	0.1	"FSF"
50	46	195	1	33.1	0.9	0.9	0.5	"FSF"
50	47	1205	3	165.5	0.6	0.6	0.3	"FSF"
50	48	272	3	66.9	0.7	0.7	0.1	"FSF"
50	49	300	3	47.2	0.8	0.8	0.2	"FSF"
50	50	622	2	82.4	0.8	0.8	0.4	"FSF"
60	1	2051	1	250.6	0.7	0.7	0	"FSF"
60	2	912	1	187.8	0.8	0.8	0	"FSF"
60	3	1190	1	134.5	0.8	0.8	0	"FSF"
60	4	439	1	66.9	0.8	0.8	0.1	"FSF"
60	5	465	1	55.2	0.9	0.9	0	"FSF"
60	6	863	1	132.5	0.8	0.8	0	"FSF"
60	7	159	1	31.9	0.7	0.7	0	"FSF"
60	8	1072	1	132.5	0.8	0.8	0.1	"FSF"
60	9	421	2	93	0.8	0.8	0	"FSF"
60	10	1823	1	312	0.7	0.7	0.1	"FSF"
60	11	1014	3	160.4	0.8	0.8	0	"FSF"
60	12	730	2	129.9	0.8	0.8	0	"FSF"
60	13	288	2	39	0.9	0.9	0	"FSF"
