"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
50	1	8	0	8	"FSF"
50	2	8	0	8	"FSF"
50	3	9	0	9	"FSF"
50	4	8	0	8	"FSF"
50	5	8	0	8	"FSF"
50	6	8	1	8	"FSF"
50	7	7	2	7	"FSF"
50	8	8	0	8	"FSF"
50	9	8	1	8	"FSF"
50	10	8	1	8	"FSF"
50	11	8	0	8	"FSF"
50	12	7	2	7	"FSF"
50	13	9	1	9	"FSF"
50	14	9	3	9	"FSF"
50	15	7	1	7	"FSF"
50	16	6	1	6	"FSF"
50	17	7	2	7	"FSF"
50	18	8	2	8	"FSF"
50	19	8	0	8	"FSF"
50	20	6	1	6	"FSF"
50	21	7	1	7	"FSF"
50	22	8	3	8	"FSF"
50	23	7	2	7	"FSF"
50	24	8	1	8	"FSF"
50	25	8	1	8	"FSF"
50	26	8	1	8	"FSF"
50	27	8	2	8	"FSF"
50	28	7	0	7	"FSF"
50	29	8	1	8	"FSF"
50	30	8	2	8	"FSF"
50	31	8	2	8	"FSF"
50	32	8	1	8	"FSF"
50	33	8	2	8	"FSF"
50	34	8	1	8	"FSF"
50	35	8	2	8	"FSF"
50	36	8	2	8	"FSF"
50	37	7	3	7	"FSF"
50	38	8	2	8	"FSF"
50	39	8	4	8	"FSF"
50	40	7	3	7	"FSF"
50	41	7	2	7	"FSF"
50	42	6	1	6	"FSF"
50	43	8	1	8	"FSF"
50	44	7	1	7	"FSF"
50	45	8	1	8	"FSF"
50	46	9	5	9	"FSF"
50	47	6	3	6	"FSF"
50	48	7	1	7	"FSF"
50	49	8	2	8	"FSF"
50	50	8	4	8	"FSF"
60	1	7	0	7	"FSF"
60	2	8	0	8	"FSF"
60	3	8	0	8	"FSF"
60	4	8	1	8	"FSF"
60	5	9	0	9	"FSF"
60	6	8	0	8	"FSF"
60	7	7	0	7	"FSF"
60	8	8	1	8	"FSF"
60	9	8	0	8	"FSF"
60	10	7	1	7	"FSF"
60	11	8	0	8	"FSF"
60	12	8	0	8	"FSF"
60	13	9	0	9	"FSF"
60	14	7	0	7	"FSF"
60	15	8	1	8	"FSF"
60	16	9	4	9	"FSF"
60	17	8	1	8	"FSF"
60	18	8	2	8	"FSF"
60	19	8	1	8	"FSF"
60	20	9	5	9	"FSF"
60	21	8	2	8	"FSF"
60	22	7	0	7	"FSF"
60	23	7	2	7	"FSF"
60	24	8	0	8	"FSF"
60	25	7	1	7	"FSF"
60	26	8	1	8	"FSF"
60	27	7	2	7	"FSF"
60	28	7	3	7	"FSF"
60	29	7	4	7	"FSF"
60	30	7	1	7	"FSF"
60	31	7	4	7	"FSF"
60	32	7	2	7	"FSF"
60	33	7	3	7	"FSF"
60	34	7	0	7	"FSF"
60	35	9	2	9	"FSF"
60	36	8	6	8	"FSF"
60	37	7	1	7	"FSF"
60	38	7	2	7	"FSF"
60	39	7	4	7	"FSF"
60	40	7	0	7	"FSF"
60	41	8	0	8	"FSF"
60	42	8	2	8	"FSF"
60	43	8	4	8	"FSF"
60	44	7	2	7	"FSF"
60	45	6	1	6	"FSF"
60	46	6	0	6	"FSF"
60	47	8	3	8	"FSF"
60	48	8	2	8	"FSF"
60	49	8	1	8	"FSF"
60	50	8	4	8	"FSF"
60	51	7	2	7	"FSF"
60	52	6	1	6	"FSF"
60	53	8	3	8	"FSF"
60	54	7	3	7	"FSF"
60	55	7	1	7	"FSF"
60	56	8	3	8	"FSF"
60	57	7	1	7	"FSF"
60	58	7	2	7	"FSF"
60	59	5	3	5	"FSF"
60	60	8	4	8	"FSF"
70	1	8	0	8	"FSF"
70	2	8	0	8	"FSF"
70	3	8	0	8	"FSF"
70	4	9	0	9	"FSF"
70	5	8	0	8	"FSF"
70	6	8	0	8	"FSF"
70	7	7	0	7	"FSF"
70	8	8	1	8	"FSF"
70	9	8	2	8	"FSF"
70	10	7	2	7	"FSF"
70	11	9	1	9	"FSF"
70	12	8	1	8	"FSF"
70	13	8	1	8	"FSF"
70	14	7	0	7	"FSF"
70	15	7	0	7	"FSF"
70	16	8	1	8	"FSF"
70	17	8	1	8	"FSF"
70	18	8	2	8	"FSF"
70	19	8	3	8	"FSF"
70	20	8	0	8	"FSF"
70	21	9	1	9	"FSF"
70	22	8	0	8	"FSF"
70	23	7	2	7	"FSF"
70	24	8	1	8	"FSF"
70	25	7	1	7	"FSF"
70	26	7	2	7	"FSF"
70	27	8	1	8	"FSF"
70	28	7	1	7	"FSF"
70	29	9	2	9	"FSF"
70	30	7	1	7	"FSF"
70	31	8	2	8	"FSF"
70	32	8	5	8	"FSF"
70	33	7	2	7	"FSF"
70	34	9	1	9	"FSF"
70	35	8	3	8	"FSF"
70	36	8	2	8	"FSF"
70	37	7	4	7	"FSF"
70	38	7	1	7	"FSF"
70	39	7	2	7	"FSF"
70	40	8	2	8	"FSF"
70	41	8	4	8	"FSF"
70	42	7	1	7	"FSF"
70	43	9	0	9	"FSF"
70	44	8	3	8	"FSF"
70	45	7	1	7	"FSF"
70	46	9	2	9	"FSF"
70	47	7	2	7	"FSF"
70	48	7	1	7	"FSF"
70	49	7	3	7	"FSF"
70	50	7	2	7	"FSF"
70	51	7	4	7	"FSF"
70	52	5	2	5	"FSF"
70	53	8	5	8	"FSF"
70	54	7	1	7	"FSF"
70	55	6	1	6	"FSF"
70	56	7	4	7	"FSF"
70	57	5	4	5	"FSF"
70	58	7	3	7	"FSF"
70	59	9	3	9	"FSF"
70	60	7	1	7	"FSF"
70	61	7	2	7	"FSF"
70	62	7	2	7	"FSF"
70	63	8	3	8	"FSF"
70	64	7	3	7	"FSF"
70	65	7	4	7	"FSF"
70	66	7	4	7	"FSF"
70	67	8	7	8	"FSF"
70	68	8	2	8	"FSF"
70	69	7	2	7	"FSF"
70	70	6	2	6	"FSF"
80	1	8	0	8	"FSF"
80	2	7	0	7	"FSF"
80	3	8	0	8	"FSF"
80	4	8	0	8	"FSF"
80	5	7	1	7	"FSF"
80	6	9	0	9	"FSF"
80	7	9	1	9	"FSF"
80	8	9	2	9	"FSF"
80	9	7	0	7	"FSF"
80	10	8	1	8	"FSF"
80	11	8	0	8	"FSF"
80	12	8	2	8	"FSF"
80	13	8	1	8	"FSF"
80	14	8	0	8	"FSF"
80	15	9	0	9	"FSF"
80	16	8	1	8	"FSF"
80	17	8	1	8	"FSF"
80	18	8	1	8	"FSF"
80	19	7	1	7	"FSF"
80	20	7	1	7	"FSF"
80	21	8	2	8	"FSF"
80	22	7	1	7	"FSF"
80	23	8	1	8	"FSF"
80	24	9	2	9	"FSF"
80	25	8	2	8	"FSF"
80	26	8	1	8	"FSF"
80	27	7	1	7	"FSF"
80	28	7	2	7	"FSF"
80	29	9	1	9	"FSF"
80	30	6	1	6	"FSF"
80	31	6	1	6	"FSF"
80	32	8	1	8	"FSF"
80	33	7	2	7	"FSF"
80	34	7	4	7	"FSF"
80	35	8	1	8	"FSF"
80	36	8	3	8	"FSF"
80	37	6	0	6	"FSF"
80	38	7	2	7	"FSF"
80	39	6	3	6	"FSF"
80	40	8	1	8	"FSF"
80	41	8	5	8	"FSF"
80	42	8	3	8	"FSF"
80	43	7	0	7	"FSF"
80	44	8	2	8	"FSF"
80	45	8	4	8	"FSF"
80	46	7	3	7	"FSF"
80	47	7	1	7	"FSF"
80	48	7	3	7	"FSF"
80	49	6	0	6	"FSF"
80	50	6	4	6	"FSF"
80	51	8	1	8	"FSF"
80	52	6	2	6	"FSF"
80	53	7	1	7	"FSF"
80	54	7	4	7	"FSF"
80	55	8	3	8	"FSF"
80	56	7	3	7	"FSF"
80	57	7	5	7	"FSF"
80	58	8	2	8	"FSF"
80	59	6	0	6	"FSF"
80	60	6	1	6	"FSF"
80	61	7	4	7	"FSF"
80	62	5	3	5	"FSF"
80	63	7	4	7	"FSF"
80	64	7	3	7	"FSF"
80	65	5	1	5	"FSF"
80	66	7	2	7	"FSF"
80	67	7	2	7	"FSF"
80	68	7	0	7	"FSF"
80	69	7	4	7	"FSF"
80	70	7	3	7	"FSF"
80	71	7	1	7	"FSF"
80	72	8	1	8	"FSF"
80	73	8	3	8	"FSF"
80	74	7	1	7	"FSF"
80	75	6	2	6	"FSF"
80	76	6	2	6	"FSF"
80	77	7	2	7	"FSF"
80	78	5	3	5	"FSF"
80	79	8	4	8	"FSF"
80	80	7	4	7	"FSF"
90	1	8	0	8	"FSF"
90	2	8	0	8	"FSF"
90	3	8	0	8	"FSF"
90	4	8	0	8	"FSF"
90	5	8	1	8	"FSF"
90	6	7	0	7	"FSF"
90	7	7	0	7	"FSF"
90	8	8	0	8	"FSF"
90	9	7	0	7	"FSF"
90	10	8	1	8	"FSF"
90	11	7	0	7	"FSF"
90	12	6	0	6	"FSF"
90	13	7	1	7	"FSF"
90	14	7	1	7	"FSF"
90	15	7	0	7	"FSF"
90	16	8	1	8	"FSF"
90	17	6	1	6	"FSF"
90	18	9	0	9	"FSF"
90	19	9	0	9	"FSF"
90	20	8	3	8	"FSF"
90	21	8	3	8	"FSF"
90	22	7	0	7	"FSF"
90	23	8	1	8	"FSF"
90	24	6	0	6	"FSF"
90	25	7	1	7	"FSF"
90	26	8	4	8	"FSF"
90	27	8	2	8	"FSF"
90	28	9	2	9	"FSF"
90	29	6	1	6	"FSF"
90	30	8	3	8	"FSF"
90	31	7	2	7	"FSF"
90	32	8	1	8	"FSF"
90	33	6	2	6	"FSF"
